NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
BRASÍLIA,12,CIRO FERREIRA GOMES,74308
LIMA DUARTE,12,CIRO FERREIRA GOMES,223
SÃO SEBASTIÃO DO PARAÍSO,12,CIRO FERREIRA GOMES,896
SÃO LUIZ GONZAGA,12,CIRO FERREIRA GOMES,522
CUIABÁ,12,CIRO FERREIRA GOMES,7573
ALTO ARAGUAIA,12,CIRO FERREIRA GOMES,124
SÃO MIGUEL DO GUAMÁ,12,CIRO FERREIRA GOMES,1171
PARNAÍBA,12,CIRO FERREIRA GOMES,3248
UNIÃO,12,CIRO FERREIRA GOMES,717
COLNIZA,12,CIRO FERREIRA GOMES,162
BURITI BRAVO,12,CIRO FERREIRA GOMES,289
MARACANÃ,12,CIRO FERREIRA GOMES,374
ARACAJU,12,CIRO FERREIRA GOMES,14603
DUQUE DE CAXIAS,12,CIRO FERREIRA GOMES,13245
VITÓRIA,7222,CIRO FERREIRA GOMES,7222
MANAUS,12,CIRO FERREIRA GOMES,32622
ITAÚNA,12,CIRO FERREIRA GOMES,1579
AROEIRAS,12,CIRO FERREIRA GOMES,304
COARACI,12,CIRO FERREIRA GOMES,239
BARRA VELHA,12,CIRO FERREIRA GOMES,271
BOA VISTA,12,CIRO FERREIRA GOMES,5310
BARROCAS,12,CIRO FERREIRA GOMES,227
FORTALEZA,12,CIRO FERREIRA GOMES,130584
CENTRAL,12,CIRO FERREIRA GOMES,257
TUBARÃO,12,CIRO FERREIRA GOMES,1394
EUNÁPOLIS,12,CIRO FERREIRA GOMES,1551
NOVO HORIZONTE,12,CIRO FERREIRA GOMES,633
RIO DE JANEIRO,12,CIRO FERREIRA GOMES,135073
CRISTÓPOLIS,12,CIRO FERREIRA GOMES,195
PALMEIRAS DE GOIÁS,12,CIRO FERREIRA GOMES,284
AÇUCENA,12,CIRO FERREIRA GOMES,96
SÃO JOSÉ DE MIPIBU,12,CIRO FERREIRA GOMES,656
VÁRZEA GRANDE,12,CIRO FERREIRA GOMES,2453
TEÓFILO OTONI,12,CIRO FERREIRA GOMES,1626
BELA VISTA DO PARAÍSO,12,CIRO FERREIRA GOMES,163
ALTO SANTO,12,CIRO FERREIRA GOMES,388
ANGATUBA,12,CIRO FERREIRA GOMES,261
COLÍDER,12,CIRO FERREIRA GOMES,231
ARATUBA,12,CIRO FERREIRA GOMES,542
CONCEIÇÃO DO LAGO-AÇU,12,CIRO FERREIRA GOMES,209
CORREIA PINTO,12,CIRO FERREIRA GOMES,141
CARMÓPOLIS,12,CIRO FERREIRA GOMES,225
MONTES CLAROS,12,CIRO FERREIRA GOMES,6368
PETRÓPOLIS,12,CIRO FERREIRA GOMES,7157
RIO PIRACICABA,12,CIRO FERREIRA GOMES,257
SALVADOR,12,CIRO FERREIRA GOMES,60766
JOÃO PESSOA,12,CIRO FERREIRA GOMES,17652
AÇAILÂNDIA,12,CIRO FERREIRA GOMES,1528
SANTO ANDRÉ,18602,CIRO FERREIRA GOMES,18602
QUEIMADAS,12,CIRO FERREIRA GOMES,1146
FLORESTA AZUL,12,CIRO FERREIRA GOMES,107
MONTE AZUL PAULISTA,12,CIRO FERREIRA GOMES,181
HORIZONTE,12,CIRO FERREIRA GOMES,2873
PARAMIRIM,12,CIRO FERREIRA GOMES,283
MARINGÁ,12,CIRO FERREIRA GOMES,7836
RECIFE,12,CIRO FERREIRA GOMES,28102
CAMPINAS,12,CIRO FERREIRA GOMES,22779
FOZ DO IGUAÇU,12,CIRO FERREIRA GOMES,3932
PALMAS,12,CIRO FERREIRA GOMES,5043
CORUMBÁ,12,CIRO FERREIRA GOMES,878
GUIA LOPES DA LAGUNA,12,CIRO FERREIRA GOMES,76
PEIXE,12,CIRO FERREIRA GOMES,78
SÃO LUÍS,12,CIRO FERREIRA GOMES,21917
SOROCABA,12,CIRO FERREIRA GOMES,12836
CHAPECÓ,12,CIRO FERREIRA GOMES,2488
SÃO JOÃO DO SOTER,12,CIRO FERREIRA GOMES,179
RIO NEGRO,12,CIRO FERREIRA GOMES,465
BRUSQUE,12,CIRO FERREIRA GOMES,1374
PARAÍSO,136,CIRO FERREIRA GOMES,136
CARIACICA,12,CIRO FERREIRA GOMES,5455
SANTA QUITÉRIA,12,CIRO FERREIRA GOMES,2172
GLÓRIA DE DOURADOS,12,CIRO FERREIRA GOMES,91
SÃO MIGUEL DOS CAMPOS,12,CIRO FERREIRA GOMES,792
REDENÇÃO,12,CIRO FERREIRA GOMES,1917
SÃO JOÃO DEL REI,12,CIRO FERREIRA GOMES,1797
PASSOS,12,CIRO FERREIRA GOMES,1401
SÃO JOÃO DO OESTE,12,CIRO FERREIRA GOMES,91
PIRIPIRI,12,CIRO FERREIRA GOMES,1142
DOUTOR SEVERIANO,12,CIRO FERREIRA GOMES,188
PADRE BERNARDO,12,CIRO FERREIRA GOMES,352
ITACOATIARA,12,CIRO FERREIRA GOMES,1011
GILBUÉS,12,CIRO FERREIRA GOMES,110
OLÍMPIA,12,CIRO FERREIRA GOMES,624
CAJAZEIRAS DO PIAUÍ,12,CIRO FERREIRA GOMES,69
MANACAPURU,12,CIRO FERREIRA GOMES,838
SALINAS,12,CIRO FERREIRA GOMES,531
PACAJUS,12,CIRO FERREIRA GOMES,2878
SABINÓPOLIS,12,CIRO FERREIRA GOMES,153
NOVA IGUAÇU,12,CIRO FERREIRA GOMES,12647
CARACOL,12,CIRO FERREIRA GOMES,133
VILA NOVA DO PIAUÍ,12,CIRO FERREIRA GOMES,96
MARABÁ,12,CIRO FERREIRA GOMES,3493
VARGINHA,12,CIRO FERREIRA GOMES,2113
CONDE,12,CIRO FERREIRA GOMES,624
ATIBAIA,12,CIRO FERREIRA GOMES,3263
CANELINHA,12,CIRO FERREIRA GOMES,109
JABOATÃO DOS GUARARAPES,12,CIRO FERREIRA GOMES,9329
RIO BRANCO,12,CIRO FERREIRA GOMES,6908
CAPÃO DA CANOA,866,CIRO FERREIRA GOMES,866
VIANA,12,CIRO FERREIRA GOMES,1548
CONCÓRDIA,12,CIRO FERREIRA GOMES,833
PRATA,12,CIRO FERREIRA GOMES,301
LONDRINA,12,CIRO FERREIRA GOMES,10588
TIMON,12,CIRO FERREIRA GOMES,3110
CURURUPU,12,CIRO FERREIRA GOMES,336
SANTO AMARO,12,CIRO FERREIRA GOMES,843
BARRA BONITA,12,CIRO FERREIRA GOMES,626
MAR DE ESPANHA,12,CIRO FERREIRA GOMES,188
RIBEIRÃO CASCALHEIRA,12,CIRO FERREIRA GOMES,69
CAMPO LARGO,12,CIRO FERREIRA GOMES,1953
CASTANHAL,12,CIRO FERREIRA GOMES,3658
TACAIMBÓ,12,CIRO FERREIRA GOMES,267
PELOTAS,12,CIRO FERREIRA GOMES,7136
MESQUITA,12,CIRO FERREIRA GOMES,2910
MIGUEL PEREIRA,12,CIRO FERREIRA GOMES,494
CURITIBA,12,CIRO FERREIRA GOMES,45827
