NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
CACONDE,22,JAIR MESSIAS BOLSONARO,5108
SÃO PAULO,22,JAIR MESSIAS BOLSONARO,2618593
INDAIATUBA,22,JAIR MESSIAS BOLSONARO,80147
RIO DE JANEIRO,22,JAIR MESSIAS BOLSONARO,1695777
BELFORD ROXO,22,JAIR MESSIAS BOLSONARO,137708
TRÊS RIOS,22,JAIR MESSIAS BOLSONARO,19910
DOM PEDRITO,22,JAIR MESSIAS BOLSONARO,8323
SÃO GONÇALO,22,JAIR MESSIAS BOLSONARO,246578
BARRA MANSA,22,JAIR MESSIAS BOLSONARO,49812
MARÍLIA,22,JAIR MESSIAS BOLSONARO,83212
JUNDIAÍ,22,JAIR MESSIAS BOLSONARO,138594
ITIRAPINA,22,JAIR MESSIAS BOLSONARO,3995
GUAPIMIRIM,22,JAIR MESSIAS BOLSONARO,17591
MAGÉ,22,JAIR MESSIAS BOLSONARO,81901
PIRACICABA,22,JAIR MESSIAS BOLSONARO,138959
NOVA IGUAÇU,22,JAIR MESSIAS BOLSONARO,263912
ITATIBA,22,JAIR MESSIAS BOLSONARO,37409
SUZANO,22,JAIR MESSIAS BOLSONARO,77397
SANTO ANDRÉ,22,JAIR MESSIAS BOLSONARO,189159
IPERÓ,22,JAIR MESSIAS BOLSONARO,7110
MURIAÉ,22,JAIR MESSIAS BOLSONARO,28731
INHUMAS,22,JAIR MESSIAS BOLSONARO,14636
PARAISÓPOLIS,22,JAIR MESSIAS BOLSONARO,6252
CAMPINAS,22,JAIR MESSIAS BOLSONARO,320684
ÁGUAS BELAS,22,JAIR MESSIAS BOLSONARO,4394
BARUERI,22,JAIR MESSIAS BOLSONARO,93212
PRESIDENTE PRUDENTE,22,JAIR MESSIAS BOLSONARO,80615
SANTOS,22,JAIR MESSIAS BOLSONARO,126156
JARINU,22,JAIR MESSIAS BOLSONARO,10780
SÃO JOSÉ DO RIO PRETO,22,JAIR MESSIAS BOLSONARO,156389
SÃO JOSÉ DOS CAMPOS,22,JAIR MESSIAS BOLSONARO,233683
RIBEIRÃO PRETO,22,JAIR MESSIAS BOLSONARO,180226
SÃO VICENTE,22,JAIR MESSIAS BOLSONARO,91092
OSASCO,22,JAIR MESSIAS BOLSONARO,181873
SANTA BÁRBARA D OESTE,22,JAIR MESSIAS BOLSONARO,64676
RIO DAS OSTRAS,22,JAIR MESSIAS BOLSONARO,41639
AMÉRICO BRASILIENSE,22,JAIR MESSIAS BOLSONARO,8295
ITANHAÉM,22,JAIR MESSIAS BOLSONARO,27950
GOIÂNIA,22,JAIR MESSIAS BOLSONARO,445715
BIRITIBA MIRIM,22,JAIR MESSIAS BOLSONARO,9057
SÃO BERNARDO DO CAMPO,22,JAIR MESSIAS BOLSONARO,185834
LORENA,22,JAIR MESSIAS BOLSONARO,27742
NITERÓI,22,JAIR MESSIAS BOLSONARO,135810
PEDRAS DE MARIA DA CRUZ,22,JAIR MESSIAS BOLSONARO,1046
LEÓPOLIS,22,JAIR MESSIAS BOLSONARO,1152
SERRINHA DOS PINTOS,22,JAIR MESSIAS BOLSONARO,478
MARTINÓPOLE,22,JAIR MESSIAS BOLSONARO,1062
SOCORRO,22,JAIR MESSIAS BOLSONARO,15442
CÍCERO DANTAS,22,JAIR MESSIAS BOLSONARO,3889
SANTA RITA DO PASSA QUATRO,22,JAIR MESSIAS BOLSONARO,9223
POÁ,22,JAIR MESSIAS BOLSONARO,30920
NOVO HAMBURGO,22,JAIR MESSIAS BOLSONARO,84976
ANDRADINA,22,JAIR MESSIAS BOLSONARO,18800
ILHABELA,22,JAIR MESSIAS BOLSONARO,10850
SANTO ANTÔNIO DE POSSE,22,JAIR MESSIAS BOLSONARO,7677
VOTORANTIM,22,JAIR MESSIAS BOLSONARO,37026
CONCHAS,22,JAIR MESSIAS BOLSONARO,5867
ITAOCA,22,JAIR MESSIAS BOLSONARO,859
IGUABA GRANDE,22,JAIR MESSIAS BOLSONARO,12769
CARAPICUÍBA,22,JAIR MESSIAS BOLSONARO,85103
TAUBATÉ,22,JAIR MESSIAS BOLSONARO,102993
SANTA ADÉLIA,22,JAIR MESSIAS BOLSONARO,4617
BELO HORIZONTE,22,JAIR MESSIAS BOLSONARO,699105
