NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
PIRAQUARA,27,JOSE MARIA EYMAEL,7
CAJAMAR,27,JOSE MARIA EYMAEL,10
PRAIA GRANDE,27,JOSE MARIA EYMAEL,46
NOVA IGUAÇU,27,JOSE MARIA EYMAEL,65
SÃO PAULO,27,JOSE MARIA EYMAEL,1689
LIMEIRA,27,JOSE MARIA EYMAEL,33
PEDRA DOURADA,27,JOSE MARIA EYMAEL,2
RIO DE JANEIRO,27,JOSE MARIA EYMAEL,588
ARAPONGAS,27,JOSE MARIA EYMAEL,11
SÃO LOURENÇO DA SERRA,27,JOSE MARIA EYMAEL,4
GUARULHOS,27,JOSE MARIA EYMAEL,212
ITAPETININGA,27,JOSE MARIA EYMAEL,9
DUQUE DE CAXIAS,27,JOSE MARIA EYMAEL,86
JUIZ DE FORA,27,JOSE MARIA EYMAEL,43
CAIUÁ,27,JOSE MARIA EYMAEL,2
SOROCABA,27,JOSE MARIA EYMAEL,84
MOGI DAS CRUZES,27,JOSE MARIA EYMAEL,54
SÃO GONÇALO,27,JOSE MARIA EYMAEL,84
AMERICANA,27,JOSE MARIA EYMAEL,22
SANTO ANDRÉ,27,JOSE MARIA EYMAEL,119
RIBEIRÃO PIRES,27,JOSE MARIA EYMAEL,23
TUIUTI,27,JOSE MARIA EYMAEL,2
GETULINA,27,JOSE MARIA EYMAEL,5
SÃO BERNARDO DO CAMPO,27,JOSE MARIA EYMAEL,120
ATIBAIA,27,JOSE MARIA EYMAEL,19
BRASÍLIA,27,JOSE MARIA EYMAEL,518
ORLEANS,27,JOSE MARIA EYMAEL,3
SERRA,27,JOSE MARIA EYMAEL,63
ASTORGA,27,JOSE MARIA EYMAEL,2
ALVARÃES,27,JOSE MARIA EYMAEL,1
PORTO ALEGRE,27,JOSE MARIA EYMAEL,163
SÃO LUÍS,27,JOSE MARIA EYMAEL,122
CARIACICA,27,JOSE MARIA EYMAEL,50
ARARIPINA,27,JOSE MARIA EYMAEL,2
SALVADOR,27,JOSE MARIA EYMAEL,198
ENGENHEIRO PAULO DE FRONTIN,27,JOSE MARIA EYMAEL,3
COSMÓPOLIS,27,JOSE MARIA EYMAEL,6
MANAUS,27,JOSE MARIA EYMAEL,212
IBITINGA,27,JOSE MARIA EYMAEL,10
ARACRUZ,27,JOSE MARIA EYMAEL,15
GASPAR,27,JOSE MARIA EYMAEL,1
PARNAÍBA,27,JOSE MARIA EYMAEL,8
SÃO JOÃO DO CAIUÁ,27,JOSE MARIA EYMAEL,1
BARRA MANSA,27,JOSE MARIA EYMAEL,43
PASSO FUNDO,27,JOSE MARIA EYMAEL,14
CURITIBA,27,JOSE MARIA EYMAEL,290
TIMBÓ,27,JOSE MARIA EYMAEL,5
SIMÕES,27,JOSE MARIA EYMAEL,3
PORTO UNIÃO,27,JOSE MARIA EYMAEL,4
CONTAGEM,27,JOSE MARIA EYMAEL,59
MONTE AZUL,27,JOSE MARIA EYMAEL,1
VILA VELHA,27,JOSE MARIA EYMAEL,48
BRUSQUE,27,JOSE MARIA EYMAEL,18
MANTENÓPOLIS,27,JOSE MARIA EYMAEL,2
LAURO DE FREITAS,27,JOSE MARIA EYMAEL,13
NAZARÉ DA MATA,27,JOSE MARIA EYMAEL,1
MARINGÁ,27,JOSE MARIA EYMAEL,33
VIAMÃO,27,JOSE MARIA EYMAEL,31
MANHUAÇU,27,JOSE MARIA EYMAEL,11
JOINVILLE,27,JOSE MARIA EYMAEL,58
SÃO GABRIEL,27,JOSE MARIA EYMAEL,5
RIO BRILHANTE,27,JOSE MARIA EYMAEL,5
FLORIANÓPOLIS,27,JOSE MARIA EYMAEL,51
ILHÉUS,27,JOSE MARIA EYMAEL,11
PELOTAS,27,JOSE MARIA EYMAEL,24
TORONTO,27,JOSE MARIA EYMAEL,8
NITERÓI,27,JOSE MARIA EYMAEL,61
UBERLÂNDIA,27,JOSE MARIA EYMAEL,37
CANHOBA,27,JOSE MARIA EYMAEL,1
BELO HORIZONTE,27,JOSE MARIA EYMAEL,215
TRÊS LAGOAS,27,JOSE MARIA EYMAEL,7
LIMOEIRO DO AJURU,27,JOSE MARIA EYMAEL,4
FOZ DO IGUAÇU,27,JOSE MARIA EYMAEL,18
CAMPOS DOS GOYTACAZES,27,JOSE MARIA EYMAEL,48
AREZ,27,JOSE MARIA EYMAEL,2
CAPIVARI,27,JOSE MARIA EYMAEL,7
BURITI BRAVO,27,JOSE MARIA EYMAEL,1
PALMAS,27,JOSE MARIA EYMAEL,35
SIMÕES FILHO,27,JOSE MARIA EYMAEL,7
SÃO SEPÉ,27,JOSE MARIA EYMAEL,1
QUIXERAMOBIM,27,JOSE MARIA EYMAEL,4
CUIABÁ,27,JOSE MARIA EYMAEL,41
MILHÃ,27,JOSE MARIA EYMAEL,2
SÃO CARLOS,27,JOSE MARIA EYMAEL,28
ITAPEVI,27,JOSE MARIA EYMAEL,28
TRIUNFO,27,JOSE MARIA EYMAEL,5
SÃO JOSÉ DE RIBAMAR,27,JOSE MARIA EYMAEL,25
RESENDE,27,JOSE MARIA EYMAEL,12
CARAÚBAS,27,JOSE MARIA EYMAEL,3
PARANÁ,27,JOSE MARIA EYMAEL,2
OURO BRANCO,27,JOSE MARIA EYMAEL,4
AREIA,27,JOSE MARIA EYMAEL,7
MATA DE SÃO JOÃO,27,JOSE MARIA EYMAEL,9
NOVA LIMA,27,JOSE MARIA EYMAEL,11
RECIFE,27,JOSE MARIA EYMAEL,103
MARIA DA FÉ,27,JOSE MARIA EYMAEL,1
TIMÓTEO,27,JOSE MARIA EYMAEL,3
TURVÂNIA,27,JOSE MARIA EYMAEL,1
FORTALEZA,27,JOSE MARIA EYMAEL,142
AURORA DO TOCANTINS,27,JOSE MARIA EYMAEL,1
EUSÉBIO,27,JOSE MARIA EYMAEL,3
PITANGUEIRAS,27,JOSE MARIA EYMAEL,2
ICÓ,27,JOSE MARIA EYMAEL,3
CAMPO GRANDE,27,JOSE MARIA EYMAEL,59
PORTO VELHO,27,JOSE MARIA EYMAEL,62
NATAL,27,JOSE MARIA EYMAEL,67
COTIA,27,JOSE MARIA EYMAEL,37
MIRANGABA,27,JOSE MARIA EYMAEL,2
LISBOA,27,JOSE MARIA EYMAEL,6
PINHAIS,27,JOSE MARIA EYMAEL,21
