NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
BRASÍLIA,14,KELMON LUIS DA SILVA SOUZA,1554
SÃO LUIZ GONZAGA,14,KELMON LUIS DA SILVA SOUZA,9
ALTO ARAGUAIA,14,KELMON LUIS DA SILVA SOUZA,10
BARRA VELHA,14,KELMON LUIS DA SILVA SOUZA,10
TUBARÃO,14,KELMON LUIS DA SILVA SOUZA,26
RIO DE JANEIRO,14,KELMON LUIS DA SILVA SOUZA,3018
PALMEIRAS DE GOIÁS,14,KELMON LUIS DA SILVA SOUZA,11
ARATUBA,14,KELMON LUIS DA SILVA SOUZA,3
SALVADOR,14,KELMON LUIS DA SILVA SOUZA,995
JOÃO PESSOA,14,KELMON LUIS DA SILVA SOUZA,265
PARAMIRIM,14,KELMON LUIS DA SILVA SOUZA,14
MARINGÁ,14,KELMON LUIS DA SILVA SOUZA,155
CHAPECÓ,14,KELMON LUIS DA SILVA SOUZA,85
SÃO JOÃO DO SOTER,14,KELMON LUIS DA SILVA SOUZA,17
PARAÍSO,14,KELMON LUIS DA SILVA SOUZA,8
CARIACICA,14,KELMON LUIS DA SILVA SOUZA,171
SÃO MIGUEL DOS CAMPOS,14,KELMON LUIS DA SILVA SOUZA,59
RIO BRANCO,14,KELMON LUIS DA SILVA SOUZA,160
CORUMBÁ,14,KELMON LUIS DA SILVA SOUZA,45
BARRA BONITA,14,KELMON LUIS DA SILVA SOUZA,13
TACAIMBÓ,14,KELMON LUIS DA SILVA SOUZA,9
JUIZ DE FORA,14,KELMON LUIS DA SILVA SOUZA,306
BELO HORIZONTE,14,KELMON LUIS DA SILVA SOUZA,916
VITÓRIA DE SANTO ANTÃO,14,KELMON LUIS DA SILVA SOUZA,43
ÁGUA BOA,14,KELMON LUIS DA SILVA SOUZA,14
PARINTINS,14,KELMON LUIS DA SILVA SOUZA,20
MANAUS,14,KELMON LUIS DA SILVA SOUZA,1059
NOVA IGUAÇU,14,KELMON LUIS DA SILVA SOUZA,359
VIGIA,14,KELMON LUIS DA SILVA SOUZA,16
SÃO JOSÉ,14,KELMON LUIS DA SILVA SOUZA,97
ERECHIM,14,KELMON LUIS DA SILVA SOUZA,42
MARACANAÚ,14,KELMON LUIS DA SILVA SOUZA,59
ANDRADINA,14,KELMON LUIS DA SILVA SOUZA,20
MACEIÓ,14,KELMON LUIS DA SILVA SOUZA,1010
VIAMÃO,14,KELMON LUIS DA SILVA SOUZA,76
SÃO LOURENÇO DO PIAUÍ,14,KELMON LUIS DA SILVA SOUZA,4
ROSÁRIO OESTE,14,KELMON LUIS DA SILVA SOUZA,15
ITACOATIARA,14,KELMON LUIS DA SILVA SOUZA,22
JOINVILLE,14,KELMON LUIS DA SILVA SOUZA,262
PARÁ DE MINAS,14,KELMON LUIS DA SILVA SOUZA,31
VITÓRIA,14,KELMON LUIS DA SILVA SOUZA,138
SANTA CECÍLIA,14,KELMON LUIS DA SILVA SOUZA,13
TRÊS BARRAS,14,KELMON LUIS DA SILVA SOUZA,16
ARAXÁ,14,KELMON LUIS DA SILVA SOUZA,42
BETIM,14,KELMON LUIS DA SILVA SOUZA,140
ARATUÍPE,14,KELMON LUIS DA SILVA SOUZA,6
BARRO,14,KELMON LUIS DA SILVA SOUZA,5
CRISTINO CASTRO,14,KELMON LUIS DA SILVA SOUZA,3
FORTALEZA,14,KELMON LUIS DA SILVA SOUZA,778
BELÉM,14,KELMON LUIS DA SILVA SOUZA,772
RIO REAL,14,KELMON LUIS DA SILVA SOUZA,28
IBIRATAIA,14,KELMON LUIS DA SILVA SOUZA,10
IGARAPÉ-MIRI,14,KELMON LUIS DA SILVA SOUZA,14
REDENÇÃO DO GURGUÉIA,14,KELMON LUIS DA SILVA SOUZA,6
SÃO LUÍS,14,KELMON LUIS DA SILVA SOUZA,593
VÁRZEA GRANDE,14,KELMON LUIS DA SILVA SOUZA,184
BOM JARDIM DA SERRA,14,KELMON LUIS DA SILVA SOUZA,4
