NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
SÃO PAULO,80,LEONARDO PÉRICLES VIEIRA ROQUE,8443
SÃO GONÇALO,80,LEONARDO PÉRICLES VIEIRA ROQUE,292
DIADEMA,80,LEONARDO PÉRICLES VIEIRA ROQUE,351
NAVEGANTES,80,LEONARDO PÉRICLES VIEIRA ROQUE,16
RIO DE JANEIRO,80,LEONARDO PÉRICLES VIEIRA ROQUE,3508
BELO HORIZONTE,80,LEONARDO PÉRICLES VIEIRA ROQUE,1548
MAUÁ,80,LEONARDO PÉRICLES VIEIRA ROQUE,485
MANHUAÇU,80,LEONARDO PÉRICLES VIEIRA ROQUE,8
SÃO JOÃO DEL REI,80,LEONARDO PÉRICLES VIEIRA ROQUE,43
NOVA IGUAÇU,80,LEONARDO PÉRICLES VIEIRA ROQUE,381
VOTUPORANGA,80,LEONARDO PÉRICLES VIEIRA ROQUE,23
BELÉM,80,LEONARDO PÉRICLES VIEIRA ROQUE,498
GOIÂNIA,80,LEONARDO PÉRICLES VIEIRA ROQUE,451
SÃO MATEUS DO MARANHÃO,80,LEONARDO PÉRICLES VIEIRA ROQUE,4
AGRESTINA,80,LEONARDO PÉRICLES VIEIRA ROQUE,3
CAXIAS DO SUL,80,LEONARDO PÉRICLES VIEIRA ROQUE,118
CAMPINA DO MONTE ALEGRE,80,LEONARDO PÉRICLES VIEIRA ROQUE,3
SÃO BERNARDO DO CAMPO,80,LEONARDO PÉRICLES VIEIRA ROQUE,690
GUIMARÂNIA,80,LEONARDO PÉRICLES VIEIRA ROQUE,2
GUARULHOS,80,LEONARDO PÉRICLES VIEIRA ROQUE,764
MIRAÍ,80,LEONARDO PÉRICLES VIEIRA ROQUE,1
TAQUARITUBA,80,LEONARDO PÉRICLES VIEIRA ROQUE,4
VOLTA REDONDA,80,LEONARDO PÉRICLES VIEIRA ROQUE,110
SALVADOR,80,LEONARDO PÉRICLES VIEIRA ROQUE,769
TABOÃO DA SERRA,80,LEONARDO PÉRICLES VIEIRA ROQUE,187
TATUÍ,80,LEONARDO PÉRICLES VIEIRA ROQUE,43
CAMPOS DO JORDÃO,80,LEONARDO PÉRICLES VIEIRA ROQUE,14
RIO CLARO,80,LEONARDO PÉRICLES VIEIRA ROQUE,50
MARAGOGI,80,LEONARDO PÉRICLES VIEIRA ROQUE,5
JUNDIAÍ,80,LEONARDO PÉRICLES VIEIRA ROQUE,185
MUCURI,80,LEONARDO PÉRICLES VIEIRA ROQUE,6
JOINVILLE,80,LEONARDO PÉRICLES VIEIRA ROQUE,182
BELFORD ROXO,80,LEONARDO PÉRICLES VIEIRA ROQUE,166
BAYEUX,80,LEONARDO PÉRICLES VIEIRA ROQUE,7
PETRÓPOLIS,80,LEONARDO PÉRICLES VIEIRA ROQUE,120
BAURU,80,LEONARDO PÉRICLES VIEIRA ROQUE,157
MACAÉ,80,LEONARDO PÉRICLES VIEIRA ROQUE,92
LEME,80,LEONARDO PÉRICLES VIEIRA ROQUE,22
BARUERI,80,LEONARDO PÉRICLES VIEIRA ROQUE,210
CAMPO LIMPO PAULISTA,80,LEONARDO PÉRICLES VIEIRA ROQUE,43
COTIA,80,LEONARDO PÉRICLES VIEIRA ROQUE,142
DUQUE DE CAXIAS,80,LEONARDO PÉRICLES VIEIRA ROQUE,412
JACAREÍ,80,LEONARDO PÉRICLES VIEIRA ROQUE,101
NATAL,80,LEONARDO PÉRICLES VIEIRA ROQUE,275
NOVA SOURE,80,LEONARDO PÉRICLES VIEIRA ROQUE,6
MIGUEL PEREIRA,80,LEONARDO PÉRICLES VIEIRA ROQUE,12
CAMPINAS,80,LEONARDO PÉRICLES VIEIRA ROQUE,567
CORUMBÁ,80,LEONARDO PÉRICLES VIEIRA ROQUE,9
BLUMENAU,80,LEONARDO PÉRICLES VIEIRA ROQUE,74
FERRAZ DE VASCONCELOS,80,LEONARDO PÉRICLES VIEIRA ROQUE,102
MOGI DAS CRUZES,80,LEONARDO PÉRICLES VIEIRA ROQUE,284
PIRACICABA,80,LEONARDO PÉRICLES VIEIRA ROQUE,158
VISCONDE DO RIO BRANCO,80,LEONARDO PÉRICLES VIEIRA ROQUE,13
TIJUCAS DO SUL,80,LEONARDO PÉRICLES VIEIRA ROQUE,2
ARARIPINA,80,LEONARDO PÉRICLES VIEIRA ROQUE,2
ARANDU,80,LEONARDO PÉRICLES VIEIRA ROQUE,2
SÃO VICENTE,80,LEONARDO PÉRICLES VIEIRA ROQUE,153
BERTIOGA,80,LEONARDO PÉRICLES VIEIRA ROQUE,24
OURO PRETO,80,LEONARDO PÉRICLES VIEIRA ROQUE,36
PARAUAPEBAS,80,LEONARDO PÉRICLES VIEIRA ROQUE,28
VALINHOS,80,LEONARDO PÉRICLES VIEIRA ROQUE,54
ESPLANADA,80,LEONARDO PÉRICLES VIEIRA ROQUE,3
SANTO ANDRÉ,80,LEONARDO PÉRICLES VIEIRA ROQUE,644
SÃO SEBASTIÃO,80,LEONARDO PÉRICLES VIEIRA ROQUE,26
ALTA FLORESTA D OESTE,80,LEONARDO PÉRICLES VIEIRA ROQUE,1
MARINGÁ,80,LEONARDO PÉRICLES VIEIRA ROQUE,120
RIO CASCA,80,LEONARDO PÉRICLES VIEIRA ROQUE,4
ABREU E LIMA,80,LEONARDO PÉRICLES VIEIRA ROQUE,15
TRÊS RIOS,80,LEONARDO PÉRICLES VIEIRA ROQUE,23
PEDRA BONITA,80,LEONARDO PÉRICLES VIEIRA ROQUE,1
SUMARÉ,80,LEONARDO PÉRICLES VIEIRA ROQUE,95
SUZANO,80,LEONARDO PÉRICLES VIEIRA ROQUE,194
SÃO JOSÉ DO RIO PRETO,80,LEONARDO PÉRICLES VIEIRA ROQUE,117
CARAPICUÍBA,80,LEONARDO PÉRICLES VIEIRA ROQUE,237
NOVA FRIBURGO,80,LEONARDO PÉRICLES VIEIRA ROQUE,44
ITU,80,LEONARDO PÉRICLES VIEIRA ROQUE,79
LORENA,80,LEONARDO PÉRICLES VIEIRA ROQUE,24
GUARUJÁ,80,LEONARDO PÉRICLES VIEIRA ROQUE,133
JUATUBA,80,LEONARDO PÉRICLES VIEIRA ROQUE,20
MARICÁ,80,LEONARDO PÉRICLES VIEIRA ROQUE,51
RIBEIRÃO DAS NEVES,80,LEONARDO PÉRICLES VIEIRA ROQUE,105
ARARUAMA,80,LEONARDO PÉRICLES VIEIRA ROQUE,50
ITAPIRA,80,LEONARDO PÉRICLES VIEIRA ROQUE,18
ITAQUAQUECETUBA,80,LEONARDO PÉRICLES VIEIRA ROQUE,159
BEBEDOURO,80,LEONARDO PÉRICLES VIEIRA ROQUE,16
PERUÍBE,80,LEONARDO PÉRICLES VIEIRA ROQUE,20
BARRA MANSA,80,LEONARDO PÉRICLES VIEIRA ROQUE,48
RIBEIRÃO PIRES,80,LEONARDO PÉRICLES VIEIRA ROQUE,101
OURINHOS,80,LEONARDO PÉRICLES VIEIRA ROQUE,28
NOVA EUROPA,80,LEONARDO PÉRICLES VIEIRA ROQUE,1
ILHA SOLTEIRA,80,LEONARDO PÉRICLES VIEIRA ROQUE,10
JAÚ,80,LEONARDO PÉRICLES VIEIRA ROQUE,46
SILVEIRAS,80,LEONARDO PÉRICLES VIEIRA ROQUE,2
ARAÇATUBA,80,LEONARDO PÉRICLES VIEIRA ROQUE,33
ITANHAÉM,80,LEONARDO PÉRICLES VIEIRA ROQUE,31
MOGI MIRIM,80,LEONARDO PÉRICLES VIEIRA ROQUE,20
BRAGANÇA PAULISTA,80,LEONARDO PÉRICLES VIEIRA ROQUE,56
ATIBAIA,80,LEONARDO PÉRICLES VIEIRA ROQUE,67
PRESIDENTE PRUDENTE,80,LEONARDO PÉRICLES VIEIRA ROQUE,46
SÃO PEDRO DA ALDEIA,80,LEONARDO PÉRICLES VIEIRA ROQUE,41
SETE LAGOAS,80,LEONARDO PÉRICLES VIEIRA ROQUE,63
CABO FRIO,80,LEONARDO PÉRICLES VIEIRA ROQUE,158
BRODOWSKI,80,LEONARDO PÉRICLES VIEIRA ROQUE,7
SANTA ISABEL,80,LEONARDO PÉRICLES VIEIRA ROQUE,18
SERTÃOZINHO,80,LEONARDO PÉRICLES VIEIRA ROQUE,37
CAÇAPAVA,80,LEONARDO PÉRICLES VIEIRA ROQUE,31
TEÓFILO OTONI,80,LEONARDO PÉRICLES VIEIRA ROQUE,24
