NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
MANAUS,30,LUIZ FELIPE CHAVES D AVILA,4539
ALTO ARAGUAIA,30,LUIZ FELIPE CHAVES D AVILA,18
BRASÍLIA,30,LUIZ FELIPE CHAVES D AVILA,10342
BENEVIDES,30,LUIZ FELIPE CHAVES D AVILA,44
OLINDA,30,LUIZ FELIPE CHAVES D AVILA,460
BLUMENAU,30,LUIZ FELIPE CHAVES D AVILA,4251
DOIS IRMÃOS,30,LUIZ FELIPE CHAVES D AVILA,203
OSASCO,30,LUIZ FELIPE CHAVES D AVILA,3617
MONTES CLAROS,30,LUIZ FELIPE CHAVES D AVILA,1576
BALSAS,30,LUIZ FELIPE CHAVES D AVILA,78
NOVA IGUAÇU,30,LUIZ FELIPE CHAVES D AVILA,1343
MENDES,30,LUIZ FELIPE CHAVES D AVILA,50
CONTAGEM,30,LUIZ FELIPE CHAVES D AVILA,3067
PRIMAVERA DO LESTE,30,LUIZ FELIPE CHAVES D AVILA,75
CUIABÁ,30,LUIZ FELIPE CHAVES D AVILA,1605
ITAPEMIRIM,30,LUIZ FELIPE CHAVES D AVILA,41
SALVADOR,30,LUIZ FELIPE CHAVES D AVILA,4007
SANTA ROSA,30,LUIZ FELIPE CHAVES D AVILA,208
ERVÁLIA,30,LUIZ FELIPE CHAVES D AVILA,105
TERESINA,30,LUIZ FELIPE CHAVES D AVILA,1358
SÃO SEPÉ,30,LUIZ FELIPE CHAVES D AVILA,68
BALNEÁRIO PIÇARRAS,30,LUIZ FELIPE CHAVES D AVILA,88
LAGUNA,30,LUIZ FELIPE CHAVES D AVILA,172
ITABIRITO,30,LUIZ FELIPE CHAVES D AVILA,274
IGUATU,30,LUIZ FELIPE CHAVES D AVILA,49
CONTENDA,30,LUIZ FELIPE CHAVES D AVILA,28
FORTALEZA,30,LUIZ FELIPE CHAVES D AVILA,3980
CANOAS,30,LUIZ FELIPE CHAVES D AVILA,1738
SÃO PAULO,30,LUIZ FELIPE CHAVES D AVILA,67714
TABOÃO DA SERRA,30,LUIZ FELIPE CHAVES D AVILA,1149
MARAGOGIPE,30,LUIZ FELIPE CHAVES D AVILA,19
RIO DE JANEIRO,30,LUIZ FELIPE CHAVES D AVILA,23280
IRUPI,30,LUIZ FELIPE CHAVES D AVILA,8
VITÓRIA,30,LUIZ FELIPE CHAVES D AVILA,1725
MACARANI,30,LUIZ FELIPE CHAVES D AVILA,14
DONA FRANCISCA,30,LUIZ FELIPE CHAVES D AVILA,10
TANABI,30,LUIZ FELIPE CHAVES D AVILA,41
LONDRINA,30,LUIZ FELIPE CHAVES D AVILA,2294
COLÔNIA LEOPOLDINA,30,LUIZ FELIPE CHAVES D AVILA,8
SÃO JOÃO DOS PATOS,30,LUIZ FELIPE CHAVES D AVILA,9
SÃO JOSÉ DE RIBAMAR,30,LUIZ FELIPE CHAVES D AVILA,151
BARRA MANSA,30,LUIZ FELIPE CHAVES D AVILA,402
SERRA,30,LUIZ FELIPE CHAVES D AVILA,1053
AREADO,30,LUIZ FELIPE CHAVES D AVILA,77
SÃO MIGUEL DAS MATAS,30,LUIZ FELIPE CHAVES D AVILA,10
CARMO,30,LUIZ FELIPE CHAVES D AVILA,45
BAURU,30,LUIZ FELIPE CHAVES D AVILA,1366
INCONFIDENTES,30,LUIZ FELIPE CHAVES D AVILA,43
LINHARES,30,LUIZ FELIPE CHAVES D AVILA,283
CATANDUVA,30,LUIZ FELIPE CHAVES D AVILA,350
BOM RETIRO,30,LUIZ FELIPE CHAVES D AVILA,11
VÁRZEA GRANDE,30,LUIZ FELIPE CHAVES D AVILA,370
CLÁUDIO,30,LUIZ FELIPE CHAVES D AVILA,214
RECIFE,30,LUIZ FELIPE CHAVES D AVILA,3113
PALHOÇA,30,LUIZ FELIPE CHAVES D AVILA,1403
SÃO LUÍS,30,LUIZ FELIPE CHAVES D AVILA,1985
BONITO,30,LUIZ FELIPE CHAVES D AVILA,47
CAPANEMA,30,LUIZ FELIPE CHAVES D AVILA,78
TABAPORÃ,30,LUIZ FELIPE CHAVES D AVILA,8
VARGINHA,30,LUIZ FELIPE CHAVES D AVILA,1025
LUZILÂNDIA,30,LUIZ FELIPE CHAVES D AVILA,6
ÓBIDOS,30,LUIZ FELIPE CHAVES D AVILA,15
COLOMBO,30,LUIZ FELIPE CHAVES D AVILA,660
BOM JESUS DO ITABAPOANA,30,LUIZ FELIPE CHAVES D AVILA,50
LAJEDO,30,LUIZ FELIPE CHAVES D AVILA,50
BREU BRANCO,30,LUIZ FELIPE CHAVES D AVILA,24
CRUZEIRO,30,LUIZ FELIPE CHAVES D AVILA,329
PONTA GROSSA,30,LUIZ FELIPE CHAVES D AVILA,1372
FLORIANÓPOLIS,30,LUIZ FELIPE CHAVES D AVILA,5332
SARANDI,30,LUIZ FELIPE CHAVES D AVILA,259
SÃO JOSÉ,30,LUIZ FELIPE CHAVES D AVILA,2228
ITAMBACURI,30,LUIZ FELIPE CHAVES D AVILA,74
NOVA MUTUM,30,LUIZ FELIPE CHAVES D AVILA,64
ESPERANTINA,30,LUIZ FELIPE CHAVES D AVILA,20
CORONEL FREITAS,30,LUIZ FELIPE CHAVES D AVILA,47
SALINÓPOLIS,30,LUIZ FELIPE CHAVES D AVILA,20
CURITIBA,30,LUIZ FELIPE CHAVES D AVILA,14077
PETROLINA,30,LUIZ FELIPE CHAVES D AVILA,350
PALMA SOLA,30,LUIZ FELIPE CHAVES D AVILA,13
SANT ANA DO LIVRAMENTO,30,LUIZ FELIPE CHAVES D AVILA,175
MARINGÁ,30,LUIZ FELIPE CHAVES D AVILA,2181
APARECIDA DE GOIÂNIA,30,LUIZ FELIPE CHAVES D AVILA,753
JOINVILLE,30,LUIZ FELIPE CHAVES D AVILA,9463
VENÂNCIO AIRES,30,LUIZ FELIPE CHAVES D AVILA,244
JUIZ DE FORA,30,LUIZ FELIPE CHAVES D AVILA,2781
CRISTAL DO SUL,30,LUIZ FELIPE CHAVES D AVILA,4
PAIÇANDU,30,LUIZ FELIPE CHAVES D AVILA,89
UNAÍ,30,LUIZ FELIPE CHAVES D AVILA,327
TABIRA,30,LUIZ FELIPE CHAVES D AVILA,14
PORTO ALEGRE,30,LUIZ FELIPE CHAVES D AVILA,8034
CASTRO,30,LUIZ FELIPE CHAVES D AVILA,156
BURITICUPU,30,LUIZ FELIPE CHAVES D AVILA,19
ESMERALDAS,30,LUIZ FELIPE CHAVES D AVILA,222
VOLTA REDONDA,30,LUIZ FELIPE CHAVES D AVILA,841
RIO CLARO,30,LUIZ FELIPE CHAVES D AVILA,721
JOÃO PINHEIRO,30,LUIZ FELIPE CHAVES D AVILA,143
SÃO JOÃO DO PARAÍSO,30,LUIZ FELIPE CHAVES D AVILA,150
BENTO GONÇALVES,30,LUIZ FELIPE CHAVES D AVILA,639
CACHOEIRA DO SUL,30,LUIZ FELIPE CHAVES D AVILA,223
ITAJUBÁ,30,LUIZ FELIPE CHAVES D AVILA,644
ÁGUA BOA,30,LUIZ FELIPE CHAVES D AVILA,71
TARUMIRIM,30,LUIZ FELIPE CHAVES D AVILA,60
TANGARÁ DA SERRA,30,LUIZ FELIPE CHAVES D AVILA,151
ITUIUTABA,30,LUIZ FELIPE CHAVES D AVILA,323
BELÉM,30,LUIZ FELIPE CHAVES D AVILA,2495
ANANINDEUA,30,LUIZ FELIPE CHAVES D AVILA,697
CATANDUVAS,30,LUIZ FELIPE CHAVES D AVILA,57
CASTANHAL,30,LUIZ FELIPE CHAVES D AVILA,187
CAMPO LARGO,30,LUIZ FELIPE CHAVES D AVILA,485
MONTEZUMA,30,LUIZ FELIPE CHAVES D AVILA,33
PATOS DE MINAS,30,LUIZ FELIPE CHAVES D AVILA,651
ITAPAGIPE,30,LUIZ FELIPE CHAVES D AVILA,37
CRISÓLITA,30,LUIZ FELIPE CHAVES D AVILA,13
JABORÁ,30,LUIZ FELIPE CHAVES D AVILA,21
BELO HORIZONTE,30,LUIZ FELIPE CHAVES D AVILA,15114
PERDIZES,30,LUIZ FELIPE CHAVES D AVILA,86
TORRES,30,LUIZ FELIPE CHAVES D AVILA,148
CARATINGA,30,LUIZ FELIPE CHAVES D AVILA,313
CONCEIÇÃO DO MATO DENTRO,30,LUIZ FELIPE CHAVES D AVILA,86
GRÃO-PARÁ,30,LUIZ FELIPE CHAVES D AVILA,39
NOVA OLINDA DO NORTE,30,LUIZ FELIPE CHAVES D AVILA,8
CARMÓPOLIS DE MINAS,30,LUIZ FELIPE CHAVES D AVILA,109
ITAÚNA,30,LUIZ FELIPE CHAVES D AVILA,472
CARIACICA,30,LUIZ FELIPE CHAVES D AVILA,667
VIAMÃO,30,LUIZ FELIPE CHAVES D AVILA,488
MIRASSOL D OESTE,30,LUIZ FELIPE CHAVES D AVILA,30
DIADEMA,30,LUIZ FELIPE CHAVES D AVILA,1487
SÃO BERNARDO DO CAMPO,30,LUIZ FELIPE CHAVES D AVILA,4491
SANTA LUZIA,30,LUIZ FELIPE CHAVES D AVILA,826
NOVA SANTA BÁRBARA,30,LUIZ FELIPE CHAVES D AVILA,11
ITAPEMA,30,LUIZ FELIPE CHAVES D AVILA,320
LAPA,30,LUIZ FELIPE CHAVES D AVILA,121
UBÁ,30,LUIZ FELIPE CHAVES D AVILA,480
PARNAÍBA,30,LUIZ FELIPE CHAVES D AVILA,146
MOJU,30,LUIZ FELIPE CHAVES D AVILA,22
JUNDIAÍ,30,LUIZ FELIPE CHAVES D AVILA,2905
FEIRA DE SANTANA,30,LUIZ FELIPE CHAVES D AVILA,770
SÃO CAETANO DO SUL,30,LUIZ FELIPE CHAVES D AVILA,1690
CAMPOS DOS GOYTACAZES,30,LUIZ FELIPE CHAVES D AVILA,688
DUAS BARRAS,30,LUIZ FELIPE CHAVES D AVILA,21
ARACI,30,LUIZ FELIPE CHAVES D AVILA,31
ITARANA,30,LUIZ FELIPE CHAVES D AVILA,17
FRANCISCO MORATO,30,LUIZ FELIPE CHAVES D AVILA,282
SÃO VICENTE,30,LUIZ FELIPE CHAVES D AVILA,902
RANCHO QUEIMADO,30,LUIZ FELIPE CHAVES D AVILA,27
SÃO SEBASTIÃO DO PASSÉ,30,LUIZ FELIPE CHAVES D AVILA,16
RIO BONITO,30,LUIZ FELIPE CHAVES D AVILA,129
LAURO DE FREITAS,30,LUIZ FELIPE CHAVES D AVILA,296
TUCUMÃ,30,LUIZ FELIPE CHAVES D AVILA,27
VESPASIANO,30,LUIZ FELIPE CHAVES D AVILA,418
TUCURUÍ,30,LUIZ FELIPE CHAVES D AVILA,80
PIRACICABA,30,LUIZ FELIPE CHAVES D AVILA,1783
SALINAS,30,LUIZ FELIPE CHAVES D AVILA,191
AMERICANA,30,LUIZ FELIPE CHAVES D AVILA,1095
PIAÇABUÇU,30,LUIZ FELIPE CHAVES D AVILA,8
TIMON,30,LUIZ FELIPE CHAVES D AVILA,100
PELOTAS,30,LUIZ FELIPE CHAVES D AVILA,1171
GRAÇA ARANHA,30,LUIZ FELIPE CHAVES D AVILA,4
FORMOSA DO OESTE,30,LUIZ FELIPE CHAVES D AVILA,15
ICONHA,30,LUIZ FELIPE CHAVES D AVILA,32
CRICIÚMA,30,LUIZ FELIPE CHAVES D AVILA,1519
ALFENAS,30,LUIZ FELIPE CHAVES D AVILA,407
ANGATUBA,30,LUIZ FELIPE CHAVES D AVILA,50
UMBURANAS,30,LUIZ FELIPE CHAVES D AVILA,1
CAETÉ,30,LUIZ FELIPE CHAVES D AVILA,203
MACHADO,30,LUIZ FELIPE CHAVES D AVILA,204
SANTO ANTÔNIO DA PLATINA,30,LUIZ FELIPE CHAVES D AVILA,86
MESQUITA,30,LUIZ FELIPE CHAVES D AVILA,320
CHAPADÃO DO SUL,30,LUIZ FELIPE CHAVES D AVILA,34
ARACRUZ,30,LUIZ FELIPE CHAVES D AVILA,171
RONDON DO PARÁ,30,LUIZ FELIPE CHAVES D AVILA,13
SÃO JOÃO DEL REI,30,LUIZ FELIPE CHAVES D AVILA,420
UBERABA,30,LUIZ FELIPE CHAVES D AVILA,1959
GUAÍBA,30,LUIZ FELIPE CHAVES D AVILA,343
CAXIAS DO SUL,30,LUIZ FELIPE CHAVES D AVILA,2620
ARARAQUARA,30,LUIZ FELIPE CHAVES D AVILA,909
CAMALAÚ,30,LUIZ FELIPE CHAVES D AVILA,3
SANTO ANTÔNIO DA PATRULHA,30,LUIZ FELIPE CHAVES D AVILA,128
PORTO VELHO,30,LUIZ FELIPE CHAVES D AVILA,1141
JABOATÃO DOS GUARARAPES,30,LUIZ FELIPE CHAVES D AVILA,767
SÃO JOSÉ DOS PINHAIS,30,LUIZ FELIPE CHAVES D AVILA,1204
VILA VELHA,30,LUIZ FELIPE CHAVES D AVILA,1575
PARANAGUÁ,30,LUIZ FELIPE CHAVES D AVILA,321
MACAÍBA,30,LUIZ FELIPE CHAVES D AVILA,43
CORAÇÃO DE MARIA,30,LUIZ FELIPE CHAVES D AVILA,14
ENCANTADO,30,LUIZ FELIPE CHAVES D AVILA,87
CAMPO GRANDE,30,LUIZ FELIPE CHAVES D AVILA,2952
CÁCERES,30,LUIZ FELIPE CHAVES D AVILA,81
MARACANAÚ,30,LUIZ FELIPE CHAVES D AVILA,223
TAIOBEIRAS,30,LUIZ FELIPE CHAVES D AVILA,173
SCHROEDER,30,LUIZ FELIPE CHAVES D AVILA,101
SÃO JOSÉ DO CALÇADO,30,LUIZ FELIPE CHAVES D AVILA,17
BOCA DA MATA,30,LUIZ FELIPE CHAVES D AVILA,15
ABAETÉ,30,LUIZ FELIPE CHAVES D AVILA,101
COROATÁ,30,LUIZ FELIPE CHAVES D AVILA,12
CONSELHEIRO LAFAIETE,30,LUIZ FELIPE CHAVES D AVILA,647
PIRIPIRI,30,LUIZ FELIPE CHAVES D AVILA,37
JACIARA,30,LUIZ FELIPE CHAVES D AVILA,19
PONTA PORÃ,30,LUIZ FELIPE CHAVES D AVILA,148
TROMBUDO CENTRAL,30,LUIZ FELIPE CHAVES D AVILA,20
VAZANTE,30,LUIZ FELIPE CHAVES D AVILA,82
JAGUARIBE,30,LUIZ FELIPE CHAVES D AVILA,18
SOROCABA,30,LUIZ FELIPE CHAVES D AVILA,3121
PARAGUAÇU PAULISTA,30,LUIZ FELIPE CHAVES D AVILA,75
BETIM,30,LUIZ FELIPE CHAVES D AVILA,1496
MARECHAL CÂNDIDO RONDON,30,LUIZ FELIPE CHAVES D AVILA,185
TUPANCIRETÃ,30,LUIZ FELIPE CHAVES D AVILA,43
CAPIVARI DE BAIXO,30,LUIZ FELIPE CHAVES D AVILA,117
INDAIAL,30,LUIZ FELIPE CHAVES D AVILA,430
TIRADENTES,30,LUIZ FELIPE CHAVES D AVILA,44
NITERÓI,30,LUIZ FELIPE CHAVES D AVILA,2419
NOVA ANDRADINA,30,LUIZ FELIPE CHAVES D AVILA,77
MARECHAL DEODORO,30,LUIZ FELIPE CHAVES D AVILA,46
CONCÓRDIA,30,LUIZ FELIPE CHAVES D AVILA,393
MARIALVA,30,LUIZ FELIPE CHAVES D AVILA,111
JANAÚBA,30,LUIZ FELIPE CHAVES D AVILA,193
JUAZEIRO,30,LUIZ FELIPE CHAVES D AVILA,172
JAURU,30,LUIZ FELIPE CHAVES D AVILA,16
BRUMADINHO,30,LUIZ FELIPE CHAVES D AVILA,144
CRATEÚS,30,LUIZ FELIPE CHAVES D AVILA,41
GUARAPARI,30,LUIZ FELIPE CHAVES D AVILA,240
JUAZEIRO DO NORTE,30,LUIZ FELIPE CHAVES D AVILA,223
CRUZ ALTA,30,LUIZ FELIPE CHAVES D AVILA,97
ARAUCÁRIA,30,LUIZ FELIPE CHAVES D AVILA,472
GOIÂNIA,30,LUIZ FELIPE CHAVES D AVILA,4406
PEDRA BONITA,30,LUIZ FELIPE CHAVES D AVILA,26
PARÁ DE MINAS,30,LUIZ FELIPE CHAVES D AVILA,499
SÃO JORGE D OESTE,30,LUIZ FELIPE CHAVES D AVILA,12
CANELA,30,LUIZ FELIPE CHAVES D AVILA,152
CRISTINA,30,LUIZ FELIPE CHAVES D AVILA,65
VITÓRIA DO MEARIM,30,LUIZ FELIPE CHAVES D AVILA,14
AGROLÂNDIA,30,LUIZ FELIPE CHAVES D AVILA,45
DUARTINA,30,LUIZ FELIPE CHAVES D AVILA,27
LAURO MÜLLER,30,LUIZ FELIPE CHAVES D AVILA,65
SÃO MIGUEL DOS MILAGRES,30,LUIZ FELIPE CHAVES D AVILA,4
AGUDOS,30,LUIZ FELIPE CHAVES D AVILA,117
FARIA LEMOS,30,LUIZ FELIPE CHAVES D AVILA,15
VERDELÂNDIA,30,LUIZ FELIPE CHAVES D AVILA,15
SOBRAL,30,LUIZ FELIPE CHAVES D AVILA,134
TRÊS CORAÇÕES,30,LUIZ FELIPE CHAVES D AVILA,401
SANTO ANDRÉ,30,LUIZ FELIPE CHAVES D AVILA,4030
IÇARA,30,LUIZ FELIPE CHAVES D AVILA,292
ENCRUZILHADA,30,LUIZ FELIPE CHAVES D AVILA,13
CRISTAIS,30,LUIZ FELIPE CHAVES D AVILA,54
OURO PRETO,30,LUIZ FELIPE CHAVES D AVILA,300
ALVINÓPOLIS,30,LUIZ FELIPE CHAVES D AVILA,64
LENÇÓIS PAULISTA,30,LUIZ FELIPE CHAVES D AVILA,176
PAROBÉ,30,LUIZ FELIPE CHAVES D AVILA,156
JACAREÍ,30,LUIZ FELIPE CHAVES D AVILA,1063
MONTE ALEGRE,30,LUIZ FELIPE CHAVES D AVILA,28
TUBARÃO,30,LUIZ FELIPE CHAVES D AVILA,724
PORTO FERREIRA,30,LUIZ FELIPE CHAVES D AVILA,144
ARACAJU,30,LUIZ FELIPE CHAVES D AVILA,1197
TURMALINA,30,LUIZ FELIPE CHAVES D AVILA,73
