NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
NOVA IGUAÇU,13,LUIZ INÁCIO LULA DA SILVA,164947
COTIA,13,LUIZ INÁCIO LULA DA SILVA,65283
ITÁPOLIS,13,LUIZ INÁCIO LULA DA SILVA,6331
MARÍLIA,13,LUIZ INÁCIO LULA DA SILVA,37724
TAUBATÉ,13,LUIZ INÁCIO LULA DA SILVA,53433
OSASCO,13,LUIZ INÁCIO LULA DA SILVA,201683
ADRIANÓPOLIS,13,LUIZ INÁCIO LULA DA SILVA,2414
ENGENHEIRO CALDAS,13,LUIZ INÁCIO LULA DA SILVA,2664
JUAZEIRO,13,LUIZ INÁCIO LULA DA SILVA,82560
PIRAPORA DO BOM JESUS,13,LUIZ INÁCIO LULA DA SILVA,5321
SÃO PAULO,13,LUIZ INÁCIO LULA DA SILVA,3276512
POTIRENDABA,13,LUIZ INÁCIO LULA DA SILVA,3450
ANDRADINA,13,LUIZ INÁCIO LULA DA SILVA,11518
CAMPINAS,13,LUIZ INÁCIO LULA DA SILVA,259973
SANTA FÉ DE GOIÁS,13,LUIZ INÁCIO LULA DA SILVA,1367
SUZANO,13,LUIZ INÁCIO LULA DA SILVA,73864
BEBEDOURO,13,LUIZ INÁCIO LULA DA SILVA,12224
IPUÃ,13,LUIZ INÁCIO LULA DA SILVA,4636
BIRITIBA MIRIM,13,LUIZ INÁCIO LULA DA SILVA,6496
PIRACICABA,13,LUIZ INÁCIO LULA DA SILVA,66884
PINDORAMA,13,LUIZ INÁCIO LULA DA SILVA,2652
GOIÂNIA,13,LUIZ INÁCIO LULA DA SILVA,262845
RIO GRANDE,13,LUIZ INÁCIO LULA DA SILVA,68808
SULINA,13,LUIZ INÁCIO LULA DA SILVA,1191
BURITAMA,13,LUIZ INÁCIO LULA DA SILVA,3355
PORTO FELIZ,13,LUIZ INÁCIO LULA DA SILVA,9112
CAETÉ,13,LUIZ INÁCIO LULA DA SILVA,12904
NATAL,13,LUIZ INÁCIO LULA DA SILVA,225529
ITAQUAQUECETUBA,13,LUIZ INÁCIO LULA DA SILVA,93775
SANTA BÁRBARA D OESTE,13,LUIZ INÁCIO LULA DA SILVA,34471
JAÚ,13,LUIZ INÁCIO LULA DA SILVA,19992
JACAREÍ,13,LUIZ INÁCIO LULA DA SILVA,44402
PAULÍNIA,13,LUIZ INÁCIO LULA DA SILVA,23899
GUARULHOS,13,LUIZ INÁCIO LULA DA SILVA,311756
VALINHOS,13,LUIZ INÁCIO LULA DA SILVA,22190
SÃO JOSÉ DOS CAMPOS,13,LUIZ INÁCIO LULA DA SILVA,143732
SANTANA DO PARAÍSO,13,LUIZ INÁCIO LULA DA SILVA,6817
PIRAJUÍ,13,LUIZ INÁCIO LULA DA SILVA,3739
BAURU,13,LUIZ INÁCIO LULA DA SILVA,72701
ITABORAÍ,13,LUIZ INÁCIO LULA DA SILVA,53532
SERRANIA,13,LUIZ INÁCIO LULA DA SILVA,2345
SALINAS,13,LUIZ INÁCIO LULA DA SILVA,13686
NOVA FRIBURGO,13,LUIZ INÁCIO LULA DA SILVA,41896
SÃO CAETANO DO SUL,13,LUIZ INÁCIO LULA DA SILVA,38172
FRANCO DA ROCHA,13,LUIZ INÁCIO LULA DA SILVA,40231
RIO CLARO,13,LUIZ INÁCIO LULA DA SILVA,39569
RIBEIRÃO PRETO,13,LUIZ INÁCIO LULA DA SILVA,125555
BIRIGUI,13,LUIZ INÁCIO LULA DA SILVA,16638
CRUZ ALTA,13,LUIZ INÁCIO LULA DA SILVA,16234
SANTANA DE PARNAÍBA,13,LUIZ INÁCIO LULA DA SILVA,31423
SÃO BERNARDO DO CAMPO,13,LUIZ INÁCIO LULA DA SILVA,240348
FERNANDÓPOLIS,13,LUIZ INÁCIO LULA DA SILVA,13603
ARAÇATUBA,13,LUIZ INÁCIO LULA DA SILVA,32370
SANTOS,13,LUIZ INÁCIO LULA DA SILVA,99198
CLEMENTINA,13,LUIZ INÁCIO LULA DA SILVA,1473
RIO DE JANEIRO,13,LUIZ INÁCIO LULA DA SILVA,1568485
ARARUAMA,13,LUIZ INÁCIO LULA DA SILVA,23067
BETIM,13,LUIZ INÁCIO LULA DA SILVA,106684
GUAPIMIRIM,13,LUIZ INÁCIO LULA DA SILVA,12058
SÃO JOÃO DE MERITI,13,LUIZ INÁCIO LULA DA SILVA,107385
PEDERNEIRAS,13,LUIZ INÁCIO LULA DA SILVA,7579
BERTIOGA,13,LUIZ INÁCIO LULA DA SILVA,14137
EMILIANÓPOLIS,13,LUIZ INÁCIO LULA DA SILVA,990
BARRETOS,13,LUIZ INÁCIO LULA DA SILVA,22049
SANTA GERTRUDES,13,LUIZ INÁCIO LULA DA SILVA,4664
SANTA CRUZ DE SALINAS,13,LUIZ INÁCIO LULA DA SILVA,2226
RIBEIRÃO DAS NEVES,13,LUIZ INÁCIO LULA DA SILVA,81560
BARÃO DE COCAIS,13,LUIZ INÁCIO LULA DA SILVA,10079
ARAXÁ,13,LUIZ INÁCIO LULA DA SILVA,25864
POUSO ALEGRE,13,LUIZ INÁCIO LULA DA SILVA,31617
DUQUE DE CAXIAS,13,LUIZ INÁCIO LULA DA SILVA,202089
BELO HORIZONTE,13,LUIZ INÁCIO LULA DA SILVA,638002
ITABERÁ,13,LUIZ INÁCIO LULA DA SILVA,4831
ITAPEVA,13,LUIZ INÁCIO LULA DA SILVA,20363
MARIA DA FÉ,13,LUIZ INÁCIO LULA DA SILVA,3326
CONGONHAS DO NORTE,13,LUIZ INÁCIO LULA DA SILVA,1952
GUARUJÁ,13,LUIZ INÁCIO LULA DA SILVA,72573
SÃO JOSÉ DO RIO PRETO,13,LUIZ INÁCIO LULA DA SILVA,75320
PATROCÍNIO,13,LUIZ INÁCIO LULA DA SILVA,19008
LOUVEIRA,13,LUIZ INÁCIO LULA DA SILVA,9798
SÃO JOÃO DA PONTE,13,LUIZ INÁCIO LULA DA SILVA,11526
CARANAÍBA,13,LUIZ INÁCIO LULA DA SILVA,1396
SÃO GONÇALO,13,LUIZ INÁCIO LULA DA SILVA,208703
JUIZ DE FORA,13,LUIZ INÁCIO LULA DA SILVA,167048
ARAÇUAÍ,13,LUIZ INÁCIO LULA DA SILVA,11733
IRACEMÁPOLIS,13,LUIZ INÁCIO LULA DA SILVA,4206
UBATUBA,13,LUIZ INÁCIO LULA DA SILVA,18491
MOGI GUAÇU,13,LUIZ INÁCIO LULA DA SILVA,23998
PATOS DE MINAS,13,LUIZ INÁCIO LULA DA SILVA,28983
SÃO SEBASTIÃO DO PARAÍSO,13,LUIZ INÁCIO LULA DA SILVA,14851
MOGI DAS CRUZES,13,LUIZ INÁCIO LULA DA SILVA,95769
CHAPADA DO NORTE,13,LUIZ INÁCIO LULA DA SILVA,4354
MAUÁ,13,LUIZ INÁCIO LULA DA SILVA,116755
CONTAGEM,13,LUIZ INÁCIO LULA DA SILVA,151516
NOVA GRANADA,13,LUIZ INÁCIO LULA DA SILVA,5130
BRUMADINHO,13,LUIZ INÁCIO LULA DA SILVA,11438
CAMPOS DOS GOYTACAZES,13,LUIZ INÁCIO LULA DA SILVA,93871
TUMIRITINGA,13,LUIZ INÁCIO LULA DA SILVA,2109
MATHIAS LOBATO,13,LUIZ INÁCIO LULA DA SILVA,1410
UBERLÂNDIA,13,LUIZ INÁCIO LULA DA SILVA,178074
TABOÃO DA SERRA,13,LUIZ INÁCIO LULA DA SILVA,90000
CAMPOS DO JORDÃO,13,LUIZ INÁCIO LULA DA SILVA,9402
NATALÂNDIA,13,LUIZ INÁCIO LULA DA SILVA,1430
CABO FRIO,13,LUIZ INÁCIO LULA DA SILVA,37586
SÃO PEDRO DA ALDEIA,13,LUIZ INÁCIO LULA DA SILVA,13718
ARAGUARI,13,LUIZ INÁCIO LULA DA SILVA,24703
PATROCÍNIO PAULISTA,13,LUIZ INÁCIO LULA DA SILVA,2911
ITATIAIA,13,LUIZ INÁCIO LULA DA SILVA,7952
MATÃO,13,LUIZ INÁCIO LULA DA SILVA,18195
ARARAQUARA,13,LUIZ INÁCIO LULA DA SILVA,59994
CESÁRIO LANGE,13,LUIZ INÁCIO LULA DA SILVA,2715
ARAÇOIABA DA SERRA,13,LUIZ INÁCIO LULA DA SILVA,5804
SUMIDOURO,13,LUIZ INÁCIO LULA DA SILVA,3536
BELFORD ROXO,13,LUIZ INÁCIO LULA DA SILVA,97771
ROSANA,13,LUIZ INÁCIO LULA DA SILVA,5302
SANTO ANDRÉ,13,LUIZ INÁCIO LULA DA SILVA,187280
INDAIATUBA,13,LUIZ INÁCIO LULA DA SILVA,45933
JANDIRA,13,LUIZ INÁCIO LULA DA SILVA,28770
SOROCABA,13,LUIZ INÁCIO LULA DA SILVA,141106
FERRAZ DE VASCONCELOS,13,LUIZ INÁCIO LULA DA SILVA,52030
BARRA MANSA,13,LUIZ INÁCIO LULA DA SILVA,44825
ITABUNA,13,LUIZ INÁCIO LULA DA SILVA,56676
PATO BRANCO,13,LUIZ INÁCIO LULA DA SILVA,18968
CARAPICUÍBA,13,LUIZ INÁCIO LULA DA SILVA,110774
PENÁPOLIS,13,LUIZ INÁCIO LULA DA SILVA,10996
BRAGANÇA PAULISTA,13,LUIZ INÁCIO LULA DA SILVA,29419
GUARAREMA,13,LUIZ INÁCIO LULA DA SILVA,6456
PEDREIRA,13,LUIZ INÁCIO LULA DA SILVA,6751
GUARAPUAVA,13,LUIZ INÁCIO LULA DA SILVA,47123
CIPÓ,13,LUIZ INÁCIO LULA DA SILVA,6813
JUQUIÁ,13,LUIZ INÁCIO LULA DA SILVA,3943
JAPERI,13,LUIZ INÁCIO LULA DA SILVA,22887
ITUETA,13,LUIZ INÁCIO LULA DA SILVA,1287
BOFETE,13,LUIZ INÁCIO LULA DA SILVA,2125
MARICÁ,13,LUIZ INÁCIO LULA DA SILVA,50619
BURI,13,LUIZ INÁCIO LULA DA SILVA,4317
ARTUR NOGUEIRA,13,LUIZ INÁCIO LULA DA SILVA,10138
LUPÉRCIO,13,LUIZ INÁCIO LULA DA SILVA,1193
SÃO JOAQUIM DE BICAS,13,LUIZ INÁCIO LULA DA SILVA,8235
SALTO,13,LUIZ INÁCIO LULA DA SILVA,25788
JUNDIAÍ,13,LUIZ INÁCIO LULA DA SILVA,80401
QUEVEDOS,13,LUIZ INÁCIO LULA DA SILVA,985
CRISÓPOLIS,13,LUIZ INÁCIO LULA DA SILVA,9712
COSMÓPOLIS,13,LUIZ INÁCIO LULA DA SILVA,13507
ITABELA,13,LUIZ INÁCIO LULA DA SILVA,9622
TAQUARITINGA,13,LUIZ INÁCIO LULA DA SILVA,10672
FORMOSA DO RIO PRETO,13,LUIZ INÁCIO LULA DA SILVA,10304
FRANCISCO MORATO,13,LUIZ INÁCIO LULA DA SILVA,55240
BORACÉIA,13,LUIZ INÁCIO LULA DA SILVA,1184
AVANHANDAVA,13,LUIZ INÁCIO LULA DA SILVA,2760
ELDORADO,13,LUIZ INÁCIO LULA DA SILVA,5887
ITAPEVI,13,LUIZ INÁCIO LULA DA SILVA,65327
SEVERÍNIA,13,LUIZ INÁCIO LULA DA SILVA,3630
DRACENA,13,LUIZ INÁCIO LULA DA SILVA,6933
LIMEIRA,13,LUIZ INÁCIO LULA DA SILVA,42807
MONGAGUÁ,13,LUIZ INÁCIO LULA DA SILVA,15100
