NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
EUNÁPOLIS,15,SIMONE NASSAR TEBET,1730
CHAPADINHA,15,SIMONE NASSAR TEBET,556
SANTO ANTÔNIO DA PLATINA,15,SIMONE NASSAR TEBET,874
CRISTALÂNDIA,15,SIMONE NASSAR TEBET,127
CAMPOS DOS GOYTACAZES,15,SIMONE NASSAR TEBET,11492
SANTARÉM,15,SIMONE NASSAR TEBET,9893
FEIRA DE SANTANA,15,SIMONE NASSAR TEBET,11074
SÃO PAULO,15,SIMONE NASSAR TEBET,558748
MARINGÁ,15,SIMONE NASSAR TEBET,13555
ALGODÃO DE JANDAÍRA,15,SIMONE NASSAR TEBET,16
ARACRUZ,15,SIMONE NASSAR TEBET,1661
AFONSO CUNHA,15,SIMONE NASSAR TEBET,26
BARRA DO CORDA,15,SIMONE NASSAR TEBET,600
SÃO LUÍS,15,SIMONE NASSAR TEBET,27386
CAMPO NOVO DE RONDÔNIA,15,SIMONE NASSAR TEBET,182
CACHOEIRA DO ARARI,15,SIMONE NASSAR TEBET,668
PORTO FRANCO,15,SIMONE NASSAR TEBET,226
BRASÍLIA,15,SIMONE NASSAR TEBET,105377
SANTO ESTEVÃO,15,SIMONE NASSAR TEBET,452
ZÉ DOCA,15,SIMONE NASSAR TEBET,338
PIRAMBU,15,SIMONE NASSAR TEBET,175
LAGARTO,15,SIMONE NASSAR TEBET,1528
SÃO JOÃO DO PARAÍSO,15,SIMONE NASSAR TEBET,510
MURIBECA,15,SIMONE NASSAR TEBET,130
DUQUE DE CAXIAS,15,SIMONE NASSAR TEBET,15475
SÃO JOÃO DA MATA,15,SIMONE NASSAR TEBET,102
SALVADOR,15,SIMONE NASSAR TEBET,54441
CAMANDUCAIA,15,SIMONE NASSAR TEBET,451
MANAUS,15,SIMONE NASSAR TEBET,59854
SOCORRO,15,SIMONE NASSAR TEBET,1188
FORTALEZA,15,SIMONE NASSAR TEBET,30491
CUIABÁ,16422,SIMONE NASSAR TEBET,16422
ARATIBA,15,SIMONE NASSAR TEBET,142
PALMAS,15,SIMONE NASSAR TEBET,6264
ILHÉUS,15,SIMONE NASSAR TEBET,4250
GOIÂNIA,15,SIMONE NASSAR TEBET,47349
SERRA DO RAMALHO,15,SIMONE NASSAR TEBET,232
VITÓRIA,15,SIMONE NASSAR TEBET,10800
IBICARÉ,15,SIMONE NASSAR TEBET,81
CANOAS,15,SIMONE NASSAR TEBET,10160
PINDAMONHANGABA,15,SIMONE NASSAR TEBET,5438
GIRAU DO PONCIANO,15,SIMONE NASSAR TEBET,491
CÂNDIDO MOTA,15,SIMONE NASSAR TEBET,617
BOQUIM,15,SIMONE NASSAR TEBET,375
POÇÃO DE PEDRAS,15,SIMONE NASSAR TEBET,145
VILA VELHA,15,SIMONE NASSAR TEBET,11908
RIO DE JANEIRO,15,SIMONE NASSAR TEBET,159208
CODÓ,15,SIMONE NASSAR TEBET,1030
BAYEUX,15,SIMONE NASSAR TEBET,1847
VISEU,15,SIMONE NASSAR TEBET,894
TUCURUÍ,15,SIMONE NASSAR TEBET,1713
ITAQUI,15,SIMONE NASSAR TEBET,838
ESMERALDAS,15,SIMONE NASSAR TEBET,1673
CAXIAS DO SUL,15,SIMONE NASSAR TEBET,15277
ARACAJU,15,SIMONE NASSAR TEBET,16795
MONTE CASTELO,15,SIMONE NASSAR TEBET,310
XINGUARA,15,SIMONE NASSAR TEBET,699
SÃO JOÃO DE MERITI,15,SIMONE NASSAR TEBET,8474
JACAREÍ,15,SIMONE NASSAR TEBET,9536
SÃO CAETANO DO SUL,15,SIMONE NASSAR TEBET,10784
RIO BRANCO,15,SIMONE NASSAR TEBET,10643
PEIXE,15,SIMONE NASSAR TEBET,126
PARAMBU,15,SIMONE NASSAR TEBET,111
PRATÂNIA,15,SIMONE NASSAR TEBET,102
IBARAMA,15,SIMONE NASSAR TEBET,155
CORDILHEIRA ALTA,15,SIMONE NASSAR TEBET,137
REDENÇÃO,15,SIMONE NASSAR TEBET,1390
MORRO DO CHAPÉU,15,SIMONE NASSAR TEBET,301
VÁRZEA ALEGRE,15,SIMONE NASSAR TEBET,167
OLIVEIRA DOS BREJINHOS,15,SIMONE NASSAR TEBET,148
TEIXEIRA DE FREITAS,15,SIMONE NASSAR TEBET,1825
BARRAS,15,SIMONE NASSAR TEBET,556
PARAUAPEBAS,15,SIMONE NASSAR TEBET,3378
FIGUEIRÓPOLIS,15,SIMONE NASSAR TEBET,135
PRESIDENTE MÉDICI,15,SIMONE NASSAR TEBET,429
