NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
PORTO ALEGRE DO NORTE,21,SOFIA PADUA MANZANO,1
PONTA GROSSA,21,SOFIA PADUA MANZANO,89
AREIA,21,SOFIA PADUA MANZANO,7
CAXIAS DO SUL,21,SOFIA PADUA MANZANO,170
BOTUCATU,21,SOFIA PADUA MANZANO,63
JUIZ DE FORA,21,SOFIA PADUA MANZANO,164
BRAÇO DO NORTE,21,SOFIA PADUA MANZANO,5
ITAJAÍ,21,SOFIA PADUA MANZANO,68
OLINDA,21,SOFIA PADUA MANZANO,89
VITÓRIA,21,SOFIA PADUA MANZANO,131
RIO BRANCO,21,SOFIA PADUA MANZANO,80
FLORIANÓPOLIS,21,SOFIA PADUA MANZANO,333
SALVADOR,21,SOFIA PADUA MANZANO,631
SANTA MARIA DO PARÁ,21,SOFIA PADUA MANZANO,3
IPATINGA,21,SOFIA PADUA MANZANO,66
BRASÍLIA,21,SOFIA PADUA MANZANO,894
VERTENTES,21,SOFIA PADUA MANZANO,2
NITERÓI,21,SOFIA PADUA MANZANO,198
FORTALEZA,21,SOFIA PADUA MANZANO,620
PAULO AFONSO,21,SOFIA PADUA MANZANO,20
SALGADO,21,SOFIA PADUA MANZANO,4
PALMEIRÂNDIA,21,SOFIA PADUA MANZANO,2
SÃO BENEDITO,21,SOFIA PADUA MANZANO,8
BARRA DO CHOÇA,21,SOFIA PADUA MANZANO,12
VIANA,21,SOFIA PADUA MANZANO,14
NOVO ORIENTE,21,SOFIA PADUA MANZANO,8
CAETITÉ,21,SOFIA PADUA MANZANO,12
MARABÁ,21,SOFIA PADUA MANZANO,27
BOCAINA,21,SOFIA PADUA MANZANO,4
JABOATÃO DOS GUARARAPES,21,SOFIA PADUA MANZANO,105
RIO DE JANEIRO,21,SOFIA PADUA MANZANO,2228
SÃO LEOPOLDO,21,SOFIA PADUA MANZANO,54
ANADIA,21,SOFIA PADUA MANZANO,3
OLHO D ÁGUA DO BORGES,21,SOFIA PADUA MANZANO,3
BALNEÁRIO CAMBORIÚ,21,SOFIA PADUA MANZANO,44
SÃO PAULO,21,SOFIA PADUA MANZANO,5009
PAULISTA,21,SOFIA PADUA MANZANO,77
TUPANATINGA,21,SOFIA PADUA MANZANO,3
ATIBAIA,21,SOFIA PADUA MANZANO,60
BAURU,21,SOFIA PADUA MANZANO,161
