NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
BOA VISTA DO TUPIM,44,SORAYA VIEIRA THRONICKE,108
BARUERI,44,SORAYA VIEIRA THRONICKE,1278
SÃO PAULO,44,SORAYA VIEIRA THRONICKE,51000
SANTA ISABEL DO IVAÍ,44,SORAYA VIEIRA THRONICKE,23
OLHO D ÁGUA DO BORGES,44,SORAYA VIEIRA THRONICKE,10
IPUMIRIM,44,SORAYA VIEIRA THRONICKE,23
FIRMINÓPOLIS,44,SORAYA VIEIRA THRONICKE,46
COTIA,44,SORAYA VIEIRA THRONICKE,1023
RESENDE,44,SORAYA VIEIRA THRONICKE,384
CAPIVARI,44,SORAYA VIEIRA THRONICKE,139
JANDIRA,44,SORAYA VIEIRA THRONICKE,386
RIO DE JANEIRO,44,SORAYA VIEIRA THRONICKE,15862
ITAPÉ,44,SORAYA VIEIRA THRONICKE,45
BELO HORIZONTE,44,SORAYA VIEIRA THRONICKE,6795
DUQUE DE CAXIAS,44,SORAYA VIEIRA THRONICKE,2613
SÃO BENTO ABADE,44,SORAYA VIEIRA THRONICKE,25
ICÓ,44,SORAYA VIEIRA THRONICKE,225
FORTALEZA,44,SORAYA VIEIRA THRONICKE,7990
PORTO ALEGRE,44,SORAYA VIEIRA THRONICKE,3411
ROSANA,44,SORAYA VIEIRA THRONICKE,23
GUARULHOS,44,SORAYA VIEIRA THRONICKE,4699
ITIRUÇU,44,SORAYA VIEIRA THRONICKE,58
SÃO SEBASTIÃO DA BOA VISTA,44,SORAYA VIEIRA THRONICKE,41
BATATAIS,44,SORAYA VIEIRA THRONICKE,177
ITAIÇABA,44,SORAYA VIEIRA THRONICKE,16
TUCUMÃ,44,SORAYA VIEIRA THRONICKE,36
CARAPICUÍBA,44,SORAYA VIEIRA THRONICKE,1464
ARAPOTI,44,SORAYA VIEIRA THRONICKE,56
SALVADOR,44,SORAYA VIEIRA THRONICKE,14434
IBIMIRIM,44,SORAYA VIEIRA THRONICKE,32
IGUAPE,44,SORAYA VIEIRA THRONICKE,108
ARARAQUARA,44,SORAYA VIEIRA THRONICKE,688
CAMPINAS,44,SORAYA VIEIRA THRONICKE,3281
SANTA CRUZ DO SUL,44,SORAYA VIEIRA THRONICKE,361
TARAUACÁ,44,SORAYA VIEIRA THRONICKE,78
SALTO,44,SORAYA VIEIRA THRONICKE,424
JOÃO PESSOA,44,SORAYA VIEIRA THRONICKE,1555
MAGÉ,44,SORAYA VIEIRA THRONICKE,875
GOIÂNIA,44,SORAYA VIEIRA THRONICKE,5699
SÍTIO DO MATO,44,SORAYA VIEIRA THRONICKE,50
BRASÍLIA,44,SORAYA VIEIRA THRONICKE,7935
MUCAJAÍ,44,SORAYA VIEIRA THRONICKE,20
GUARAPUAVA,44,SORAYA VIEIRA THRONICKE,515
HORIZONTE,44,SORAYA VIEIRA THRONICKE,244
MAUÁ,44,SORAYA VIEIRA THRONICKE,1490
ATIBAIA,44,SORAYA VIEIRA THRONICKE,480
ANGRA DOS REIS,44,SORAYA VIEIRA THRONICKE,314
IEPÊ,44,SORAYA VIEIRA THRONICKE,22
CAMPINA GRANDE,44,SORAYA VIEIRA THRONICKE,942
JABOATÃO DOS GUARARAPES,44,SORAYA VIEIRA THRONICKE,1511
MACAPÁ,44,SORAYA VIEIRA THRONICKE,1978
FRANCO DA ROCHA,44,SORAYA VIEIRA THRONICKE,582
SANTA ISABEL,44,SORAYA VIEIRA THRONICKE,264
GAMELEIRAS,44,SORAYA VIEIRA THRONICKE,5
CATAS ALTAS DA NORUEGA,44,SORAYA VIEIRA THRONICKE,5
SÃO JOSÉ DO RIO PRETO,44,SORAYA VIEIRA THRONICKE,1121
BAIXIO,44,SORAYA VIEIRA THRONICKE,3
JATI,44,SORAYA VIEIRA THRONICKE,15
MIRAÍ,44,SORAYA VIEIRA THRONICKE,15
ITAPETININGA,44,SORAYA VIEIRA THRONICKE,466
PIRAÍ DO NORTE,44,SORAYA VIEIRA THRONICKE,46
PARANAGUÁ,44,SORAYA VIEIRA THRONICKE,432
CAMPO LARGO,44,SORAYA VIEIRA THRONICKE,499
RECIFE,44,SORAYA VIEIRA THRONICKE,4027
ARACATI,44,SORAYA VIEIRA THRONICKE,183
SIDROLÂNDIA,44,SORAYA VIEIRA THRONICKE,106
IJACI,44,SORAYA VIEIRA THRONICKE,27
NOVO HAMBURGO,44,SORAYA VIEIRA THRONICKE,511
CURITIBA,44,SORAYA VIEIRA THRONICKE,7131
BELFORD ROXO,44,SORAYA VIEIRA THRONICKE,1713
CIPÓ,44,SORAYA VIEIRA THRONICKE,68
IPIAÚ,44,SORAYA VIEIRA THRONICKE,132
EXTREMA,44,SORAYA VIEIRA THRONICKE,131
MIMOSO DE GOIÁS,44,SORAYA VIEIRA THRONICKE,23
QUIXERÉ,44,SORAYA VIEIRA THRONICKE,55
TUBARÃO,44,SORAYA VIEIRA THRONICKE,266
SERRA,44,SORAYA VIEIRA THRONICKE,1383
JACAREÍ,44,SORAYA VIEIRA THRONICKE,734
PETRÓPOLIS,44,SORAYA VIEIRA THRONICKE,817
BROCHIER,44,SORAYA VIEIRA THRONICKE,22
VITÓRIA DA CONQUISTA,44,SORAYA VIEIRA THRONICKE,1520
IBIRITÉ,44,SORAYA VIEIRA THRONICKE,601
FEIRA NOVA,44,SORAYA VIEIRA THRONICKE,52
FOZ DO IGUAÇU,44,SORAYA VIEIRA THRONICKE,572
CAMBUQUIRA,44,SORAYA VIEIRA THRONICKE,43
NOVA IGUAÇU,44,SORAYA VIEIRA THRONICKE,2504
BURITIRAMA,44,SORAYA VIEIRA THRONICKE,161
SANTA BÁRBARA D OESTE,44,SORAYA VIEIRA THRONICKE,498
JUIZ DE FORA,44,SORAYA VIEIRA THRONICKE,1045
IMBITUVA,44,SORAYA VIEIRA THRONICKE,119
PIRAQUÊ,44,SORAYA VIEIRA THRONICKE,6
MULUNGU,44,SORAYA VIEIRA THRONICKE,45
BUÍQUE,44,SORAYA VIEIRA THRONICKE,102
RIO NEGRINHO,44,SORAYA VIEIRA THRONICKE,166
APARECIDA DE GOIÂNIA,44,SORAYA VIEIRA THRONICKE,2006
SÃO GONÇALO,44,SORAYA VIEIRA THRONICKE,2405
BARRA MANSA,44,SORAYA VIEIRA THRONICKE,531
LONDRINA,44,SORAYA VIEIRA THRONICKE,1870
CAPELA,44,SORAYA VIEIRA THRONICKE,110
PACATUBA,44,SORAYA VIEIRA THRONICKE,241
BAURU,44,SORAYA VIEIRA THRONICKE,1068
ITAMARAJU,44,SORAYA VIEIRA THRONICKE,278
PIRAQUARA,44,SORAYA VIEIRA THRONICKE,385
TAUÁ,44,SORAYA VIEIRA THRONICKE,147
