NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
AMPÉRE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,2
RIBEIRÃO PIRES,16,VERA LUCIA PEREIRA DA SILVA SALGADO,22
RIO DE JANEIRO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,1257
ITABUNA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,22
TERESÓPOLIS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,17
ARARAQUARA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,47
MATIAS CARDOSO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,1
CAMPO LIMPO PAULISTA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,8
JUNDIAÍ,16,VERA LUCIA PEREIRA DA SILVA SALGADO,62
RESENDE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,16
LAURO DE FREITAS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,19
DIADEMA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,61
GUARULHOS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,207
GOIÂNIA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,170
TRÊS RIOS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,15
CANTAGALO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,9
CAMPINAS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,231
SÃO BERNARDO DO CAMPO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,169
SÃO JOSÉ DO RIO PRETO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,60
OSASCO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,169
MOGI GUAÇU,16,VERA LUCIA PEREIRA DA SILVA SALGADO,18
BOM JESUS DOS PERDÕES,16,VERA LUCIA PEREIRA DA SILVA SALGADO,3
UNIÃO DOS PALMARES,16,VERA LUCIA PEREIRA DA SILVA SALGADO,10
AREIA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,4
SANTO ANDRÉ,16,VERA LUCIA PEREIRA DA SILVA SALGADO,164
PIRAPOZINHO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,3
SÃO PAULO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,2676
VALPARAÍSO DE GOIÁS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,9
SÃO CARLOS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,85
ARAPIRACA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,19
SÃO JOSÉ DOS CAMPOS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,270
PESCADOR,16,VERA LUCIA PEREIRA DA SILVA SALGADO,1
UBERABA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,43
NITERÓI,16,VERA LUCIA PEREIRA DA SILVA SALGADO,117
VOTORANTIM,16,VERA LUCIA PEREIRA DA SILVA SALGADO,27
DUQUE DE CAXIAS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,175
UBERLÂNDIA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,99
SANTA FÉ DO SUL,16,VERA LUCIA PEREIRA DA SILVA SALGADO,6
CACHOEIRINHA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,23
BRAGANÇA PAULISTA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,29
JUIZ DE FORA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,120
MARÍLIA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,21
BELO HORIZONTE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,498
