NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
SÃO PAULO,95,VOTO BRANCO,152752
SÃO JOSÉ DOS PINHAIS,95,VOTO BRANCO,3305
BRASÍLIA,95,VOTO BRANCO,25162
CURITIBA,95,VOTO BRANCO,18925
MANAUS,95,VOTO BRANCO,15221
SANTA IZABEL DO OESTE,95,VOTO BRANCO,80
SANTIAGO DO SUL,95,VOTO BRANCO,24
SÃO JOÃO DO SOTER,95,VOTO BRANCO,51
SÃO LUÍS,95,VOTO BRANCO,8513
SÃO TIAGO,95,VOTO BRANCO,247
JOÃO MONLEVADE,95,VOTO BRANCO,980
RIO DE JANEIRO,95,VOTO BRANCO,59815
CHAPECÓ,95,VOTO BRANCO,1644
SALVADOR,95,VOTO BRANCO,30233
MANOEL EMÍDIO,95,VOTO BRANCO,16
ORÓS,95,VOTO BRANCO,128
FORMOSA DO RIO PRETO,95,VOTO BRANCO,113
BRASIL NOVO,95,VOTO BRANCO,101
RIBEIRÃO DO LARGO,95,VOTO BRANCO,76
CAPANEMA,95,VOTO BRANCO,628
HUMAITÁ,95,VOTO BRANCO,190
SÃO LOURENÇO DO OESTE,95,VOTO BRANCO,275
HORIZONTE,95,VOTO BRANCO,943
SANTO AMARO DA IMPERATRIZ,95,VOTO BRANCO,257
BETIM,95,VOTO BRANCO,5318
MARATAÍZES,95,VOTO BRANCO,343
PORTO UNIÃO,95,VOTO BRANCO,317
GOIANÉSIA DO PARÁ,95,VOTO BRANCO,102
COELHO NETO,95,VOTO BRANCO,199
ACOPIARA,95,VOTO BRANCO,463
PASSOS,95,VOTO BRANCO,1215
CARIACICA,95,VOTO BRANCO,4101
PEDRA BRANCA,95,VOTO BRANCO,282
MONTENEGRO,95,VOTO BRANCO,781
IBICUITINGA,95,VOTO BRANCO,138
CRISTINA,95,VOTO BRANCO,120
SENADOR FIRMINO,95,VOTO BRANCO,94
BELA VISTA DO MARANHÃO,95,VOTO BRANCO,37
VOLTA REDONDA,95,VOTO BRANCO,2677
MIRADOR,95,VOTO BRANCO,100
PLANALTO,95,VOTO BRANCO,482
AIMORÉS,95,VOTO BRANCO,190
PRESIDENTE FIGUEIREDO,95,VOTO BRANCO,112
IBATIBA,95,VOTO BRANCO,242
CURRAL NOVO DO PIAUÍ,95,VOTO BRANCO,34
VALENÇA DO PIAUÍ,95,VOTO BRANCO,112
GUAÍRA,95,VOTO BRANCO,761
PORTO ALEGRE,95,VOTO BRANCO,13601
NITERÓI,95,VOTO BRANCO,4004
COLATINA,95,VOTO BRANCO,1299
PIRIPIRI,95,VOTO BRANCO,543
SORRISO,95,VOTO BRANCO,451
BURITI,95,VOTO BRANCO,158
BAURU,95,VOTO BRANCO,4834
PARANAGUÁ,95,VOTO BRANCO,1365
BARRA DO PIRAÍ,95,VOTO BRANCO,948
RUSSAS,95,VOTO BRANCO,546
SANTA CRUZ DO RIO PARDO,95,VOTO BRANCO,587
SANTO ANTÔNIO DA PLATINA,95,VOTO BRANCO,527
BELÉM,95,VOTO BRANCO,10891
TAQUARITINGA DO NORTE,95,VOTO BRANCO,300
CAXIAS DO SUL,95,VOTO BRANCO,5439
ABATIÁ,95,VOTO BRANCO,68
JAGUARÉ,95,VOTO BRANCO,300
SUMARÉ,95,VOTO BRANCO,3140
PETRÓPOLIS,95,VOTO BRANCO,3538
PETROLINA,95,VOTO BRANCO,2645
PICOS,95,VOTO BRANCO,393
ORIXIMINÁ,95,VOTO BRANCO,250
CURVELO,95,VOTO BRANCO,1022
ARACAJU,95,VOTO BRANCO,4899
ITAPORANGA D AJUDA,95,VOTO BRANCO,410
CABRÁLIA PAULISTA,95,VOTO BRANCO,53
CUMARU DO NORTE,95,VOTO BRANCO,25
JARAGUÁ DO SUL,95,VOTO BRANCO,1426
ANGATUBA,95,VOTO BRANCO,381
ITAPEJARA D OESTE,95,VOTO BRANCO,91
TEFÉ,95,VOTO BRANCO,168
VÁRZEA GRANDE,95,VOTO BRANCO,1811
