NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
BRASÍLIA,96,VOTO NULO,32163
LIMA DUARTE,96,VOTO NULO,395
SÃO SEBASTIÃO DO PARAÍSO,96,VOTO NULO,1203
SÃO LUIZ GONZAGA,96,VOTO NULO,339
CUIABÁ,96,VOTO NULO,6835
SÃO MIGUEL DO GUAMÁ,96,VOTO NULO,392
PARNAÍBA,96,VOTO NULO,1975
COLNIZA,96,VOTO NULO,138
BURITI BRAVO,96,VOTO NULO,484
MARACANÃ,96,VOTO NULO,224
DUQUE DE CAXIAS,96,VOTO NULO,16705
RIO PIRACICABA,96,VOTO NULO,393
ARACAJU,96,VOTO NULO,10789
VITÓRIA,96,VOTO NULO,4188
ITAÚNA,96,VOTO NULO,1972
AROEIRAS,96,VOTO NULO,552
COARACI,96,VOTO NULO,460
BARRA VELHA,96,VOTO NULO,365
CAPÃO DA CANOA,96,VOTO NULO,542
BOA VISTA,96,VOTO NULO,2987
CORIBE,96,VOTO NULO,308
PEDRA PRETA,96,VOTO NULO,312
FORTALEZA,96,VOTO NULO,35498
CENTRAL,96,VOTO NULO,354
TUBARÃO,96,VOTO NULO,1460
EUNÁPOLIS,96,VOTO NULO,2025
NOVO HORIZONTE,96,VOTO NULO,701
TANABI,96,VOTO NULO,389
RIO DE JANEIRO,96,VOTO NULO,124348
AÇUCENA,96,VOTO NULO,244
SÃO JOSÉ DE MIPIBU,96,VOTO NULO,912
CRISTÓPOLIS,96,VOTO NULO,335
PALMEIRAS DE GOIÁS,96,VOTO NULO,372
TEÓFILO OTONI,96,VOTO NULO,2691
VÁRZEA GRANDE,96,VOTO NULO,2902
BELA VISTA DO PARAÍSO,96,VOTO NULO,242
ANGATUBA,96,VOTO NULO,541
COLÍDER,96,VOTO NULO,266
ARATUBA,96,VOTO NULO,202
CONCEIÇÃO DO LAGO-AÇU,96,VOTO NULO,193
CORREIA PINTO,96,VOTO NULO,167
CARMÓPOLIS,96,VOTO NULO,372
MONTES CLAROS,96,VOTO NULO,7480
PETRÓPOLIS,96,VOTO NULO,5677
SALVADOR,96,VOTO NULO,73672
JOÃO PESSOA,96,VOTO NULO,14006
AÇAILÂNDIA,96,VOTO NULO,1274
CONCEIÇÃO DAS ALAGOAS,96,VOTO NULO,327
QUEIMADAS,96,VOTO NULO,1586
FLORESTA AZUL,96,VOTO NULO,220
HORIZONTE,96,VOTO NULO,1286
MARINGÁ,96,VOTO NULO,4586
MONTE AZUL PAULISTA,96,VOTO NULO,326
PARAMIRIM,96,VOTO NULO,470
RECIFE,96,VOTO NULO,31816
CAMPINAS,96,VOTO NULO,22383
FOZ DO IGUAÇU,96,VOTO NULO,2867
CORUMBÁ,96,VOTO NULO,764
IRINEÓPOLIS,96,VOTO NULO,105
GUIA LOPES DA LAGUNA,96,VOTO NULO,132
PEIXE,96,VOTO NULO,205
SÃO LUÍS,96,VOTO NULO,13933
SOROCABA,96,VOTO NULO,17170
CHAPECÓ,96,VOTO NULO,2002
SÃO JOÃO DO SOTER,96,VOTO NULO,342
RIO NEGRO,96,VOTO NULO,476
BRUSQUE,96,VOTO NULO,1696
PARAÍSO,96,VOTO NULO,204
CARIACICA,96,VOTO NULO,5128
SANTA QUITÉRIA,96,VOTO NULO,436
SÃO MIGUEL DOS CAMPOS,96,VOTO NULO,1019
SÃO JOÃO DEL REI,96,VOTO NULO,1904
SANTO ANDRÉ,96,VOTO NULO,18728
PASSOS,96,VOTO NULO,1779
SÃO JOÃO DO OESTE,96,VOTO NULO,87
PIRIPIRI,96,VOTO NULO,955
DOUTOR SEVERIANO,96,VOTO NULO,102
PADRE BERNARDO,96,VOTO NULO,341
ITACOATIARA,96,VOTO NULO,613
GILBUÉS,96,VOTO NULO,161
OLÍMPIA,96,VOTO NULO,836
BARROCAS,96,VOTO NULO,374
CAJAZEIRAS DO PIAUÍ,96,VOTO NULO,86
SALINAS,96,VOTO NULO,985
PACAJUS,96,VOTO NULO,1168
SABINÓPOLIS,96,VOTO NULO,445
NOVA IGUAÇU,96,VOTO NULO,15642
CARACOL,96,VOTO NULO,190
VILA NOVA DO PIAUÍ,96,VOTO NULO,69
MARABÁ,96,VOTO NULO,2170
VARGINHA,96,VOTO NULO,2454
CONDE,96,VOTO NULO,1250
ATIBAIA,96,VOTO NULO,3293
CANELINHA,96,VOTO NULO,175
JABOATÃO DOS GUARARAPES,96,VOTO NULO,13796
RIO BRANCO,96,VOTO NULO,4631
VIANA,96,VOTO NULO,1513
CONCÓRDIA,96,VOTO NULO,895
PRATA,96,VOTO NULO,358
LONDRINA,96,VOTO NULO,8400
ALÉM PARAÍBA,96,VOTO NULO,456
CURURUPU,96,VOTO NULO,434
TIMON,96,VOTO NULO,3098
BARRA BONITA,96,VOTO NULO,823
SANTO AMARO,96,VOTO NULO,1320
MAR DE ESPANHA,96,VOTO NULO,275
RIBEIRÃO CASCALHEIRA,96,VOTO NULO,69
CAMPO LARGO,96,VOTO NULO,2036
CASTANHAL,96,VOTO NULO,1679
TACAIMBÓ,96,VOTO NULO,359
PELOTAS,96,VOTO NULO,5088
MESQUITA,96,VOTO NULO,3014
MIGUEL PEREIRA,96,VOTO NULO,445
GIRAU DO PONCIANO,96,VOTO NULO,534
CURITIBA,96,VOTO NULO,27330
ÁGUA PRETA,96,VOTO NULO,588
JUIZ DE FORA,96,VOTO NULO,10510
CARPINA,96,VOTO NULO,1615
MANACAPURU,96,VOTO NULO,768
COMODORO,96,VOTO NULO,224
BOA VISTA DO RAMOS,96,VOTO NULO,89
COCAL,96,VOTO NULO,611
BLUMENAU,96,VOTO NULO,5594
CRUCILÂNDIA,96,VOTO NULO,165
IBIRAÇU,96,VOTO NULO,272
NOVA ROMA,96,VOTO NULO,49
SÃO PAULO,96,VOTO NULO,294142
MACEIÓ,96,VOTO NULO,15992
SERRA,96,VOTO NULO,7196
NOVA VENEZA,96,VOTO NULO,319
SANTA TERESA,96,VOTO NULO,484
SÃO JOÃO DO ORIENTE,96,VOTO NULO,165
ARRAIAL,96,VOTO NULO,58
VITÓRIA DE SANTO ANTÃO,96,VOTO NULO,3096
BELÉM,96,VOTO NULO,16390
ANCHIETA,96,VOTO NULO,514
JAGUARUANA,96,VOTO NULO,592
URUBICI,96,VOTO NULO,98
BAURU,96,VOTO NULO,7240
LAMARÃO,96,VOTO NULO,224
IGUATU,96,VOTO NULO,1166
ÁGUA BOA,96,VOTO NULO,504
ARAPUTANGA,96,VOTO NULO,156
BARRA MANSA,96,VOTO NULO,3178
CAUCAIA,96,VOTO NULO,5696
TUCURUÍ,96,VOTO NULO,676
JUNDIAÍ,96,VOTO NULO,10319
NOVO GAMA,96,VOTO NULO,803
VIÇOSA,96,VOTO NULO,1947
JARDIM,96,VOTO NULO,643
CALDEIRÃO GRANDE,96,VOTO NULO,252
VIDEIRA,96,VOTO NULO,576
SÃO JOÃO DO ITAPERIÚ,96,VOTO NULO,39
PRUDENTÓPOLIS,96,VOTO NULO,726
BELO HORIZONTE,96,VOTO NULO,46002
MANAUS,96,VOTO NULO,24314
PARNAGUÁ,96,VOTO NULO,143
ELDORADO DOS CARAJÁS,96,VOTO NULO,204
ITAGUAÍ,96,VOTO NULO,1777
CODÓ,96,VOTO NULO,2317
ARAPIRACA,96,VOTO NULO,3211
PALMEIRA DOS ÍNDIOS,96,VOTO NULO,1341
PEDRA,96,VOTO NULO,613
GAMELEIRA,96,VOTO NULO,395
PEDRAS DE MARIA DA CRUZ,96,VOTO NULO,160
IRITUIA,96,VOTO NULO,229
MARCOS PARENTE,96,VOTO NULO,38
MAIRIPORÃ,96,VOTO NULO,1841
RIO NEGRINHO,96,VOTO NULO,530
CAXIAS DO SUL,96,VOTO NULO,7655
QUITERIANÓPOLIS,96,VOTO NULO,338
SÃO JOSÉ,96,VOTO NULO,3970
ERECHIM,96,VOTO NULO,1107
SÃO SEBASTIÃO DA GRAMA,96,VOTO NULO,255
MARACANAÚ,96,VOTO NULO,3703
HUMBERTO DE CAMPOS,96,VOTO NULO,568
SANTA MARIA,96,VOTO NULO,2565
LAGOA DA PRATA,96,VOTO NULO,876
SUZANO,96,VOTO NULO,7198
UBERLÂNDIA,96,VOTO NULO,12612
ANDRADINA,96,VOTO NULO,950
LUIZ ALVES,96,VOTO NULO,135
PORECATU,96,VOTO NULO,157
SARANDI,96,VOTO NULO,1438
CAMOCIM,96,VOTO NULO,829
TOLEDO,96,VOTO NULO,1759
PORCIÚNCULA,96,VOTO NULO,345
BONFIM DO PIAUÍ,96,VOTO NULO,127
SANTO AMARO DO MARANHÃO,96,VOTO NULO,288
NOVA VENÉCIA,96,VOTO NULO,582
ITAMBARACÁ,96,VOTO NULO,96
SIRINHAÉM,96,VOTO NULO,812
FAZENDA RIO GRANDE,96,VOTO NULO,1675
ALTO ALEGRE DO PINDARÉ,96,VOTO NULO,548
PINHEIROS,96,VOTO NULO,301
SÃO MATEUS,96,VOTO NULO,1520
LIMEIRA,96,VOTO NULO,5640
LIMOEIRO DE ANADIA,96,VOTO NULO,451
